Geom;INTERSECTION;URL
"{""coordinates"": [-123.117828709002, 49.2865884422055], ""type"": ""Point""}";BURRARD ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#120592
"{""coordinates"": [-123.124403841864, 49.282240666813], ""type"": ""Point""}";BURRARD ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#120604
"{""coordinates"": [-123.145499141585, 49.2706609954056], ""type"": ""Point""}";BURRARD ST AND W 1ST AV;https://app.vancouver.ca/vanmapmtc_net/#120634
"{""coordinates"": [-123.145645520735, 49.268026679519], ""type"": ""Point""}";BURRARD ST AND W 4TH AV;https://app.vancouver.ca/vanmapmtc_net/#120640
"{""coordinates"": [-123.145724142, 49.2646253557773], ""type"": ""Point""}";BURRARD ST AND W 8TH AV;https://app.vancouver.ca/vanmapmtc_net/#120648
"{""coordinates"": [-123.145863421114, 49.2608880059052], ""type"": ""Point""}";BURRARD ST AND W 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#120670
"{""coordinates"": [-123.123382954786, 49.2815805738358], ""type"": ""Point""}";HORNBY ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#124604
"{""coordinates"": [-123.124974275975, 49.280528048379], ""type"": ""Point""}";HORNBY ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#124606
"{""coordinates"": [-123.141019662936, 49.2636374273247], ""type"": ""Point""}";FIR ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#124650
"{""coordinates"": [-123.143530428771, 49.2131963258347], ""type"": ""Point""}";ADERA ST AND W 64TH AV;https://app.vancouver.ca/vanmapmtc_net/#124823
"{""coordinates"": [-123.113866596012, 49.2866168436393], ""type"": ""Point""}";HOWE ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#126589
"{""coordinates"": [-123.119096643564, 49.2831367248562], ""type"": ""Point""}";HOWE ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#126600
"{""coordinates"": [-123.122413886269, 49.2809529523008], ""type"": ""Point""}";HOWE ST AND SMITHE ST;https://app.vancouver.ca/vanmapmtc_net/#126604
"{""coordinates"": [-123.124004711713, 49.2799000360597], ""type"": ""Point""}";HOWE ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#126606
"{""coordinates"": [-123.12719015921, 49.2777920634803], ""type"": ""Point""}";HOWE ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#126612
"{""coordinates"": [-123.128783710229, 49.2767374240916], ""type"": ""Point""}";HOWE ST AND DRAKE ST;https://app.vancouver.ca/vanmapmtc_net/#126614
"{""coordinates"": [-123.130384071004, 49.2756782842115], ""type"": ""Point""}";HOWE ST AND PACIFIC ST;https://app.vancouver.ca/vanmapmtc_net/#126616
"{""coordinates"": [-123.112884485473, 49.2859566078562], ""type"": ""Point""}";GRANVILLE ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#130589
"{""coordinates"": [-123.114847525495, 49.2846585985654], ""type"": ""Point""}";GRANVILLE ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#130592
"{""coordinates"": [-123.116411709855, 49.2836239860524], ""type"": ""Point""}";GRANVILLE ST AND DUNSMUIR ST;https://app.vancouver.ca/vanmapmtc_net/#130595
"{""coordinates"": [-123.11812055027, 49.2824942805362], ""type"": ""Point""}";GRANVILLE ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#130600
"{""coordinates"": [-123.123013825971, 49.2792581951786], ""type"": ""Point""}";GRANVILLE ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#130606
"{""coordinates"": [-123.12460642589, 49.2782042241681], ""type"": ""Point""}";GRANVILLE ST AND HELMCKEN ST;https://app.vancouver.ca/vanmapmtc_net/#130608
"{""coordinates"": [-123.126198547171, 49.2771505196264], ""type"": ""Point""}";GRANVILLE ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#130612
"{""coordinates"": [-123.138802310813, 49.2570539196924], ""type"": ""Point""}";GRANVILLE ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#130690
"{""coordinates"": [-123.139588020868, 49.2343303690082], ""type"": ""Point""}";GRANVILLE ST AND W 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#130750
"{""coordinates"": [-123.140368966013, 49.213143694614], ""type"": ""Point""}";GRANVILLE ST AND W 64TH AV;https://app.vancouver.ca/vanmapmtc_net/#130823
"{""coordinates"": [-123.112875067861, 49.2846659699319], ""type"": ""Point""}";SEYMOUR ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#134590
"{""coordinates"": [-123.113856074414, 49.2840173391527], ""type"": ""Point""}";SEYMOUR ST AND W PENDER ST;https://app.vancouver.ca/vanmapmtc_net/#134592
"{""coordinates"": [-123.117128809456, 49.2818529133339], ""type"": ""Point""}";SEYMOUR ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#134600
"{""coordinates"": [-123.118836416635, 49.2807227326024], ""type"": ""Point""}";SEYMOUR ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#134602
"{""coordinates"": [-123.122021933179, 49.2786161133648], ""type"": ""Point""}";SEYMOUR ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#134606
"{""coordinates"": [-123.128433751575, 49.274372650202], ""type"": ""Point""}";SEYMOUR ST AND PACIFIC ST;https://app.vancouver.ca/vanmapmtc_net/#134616
"{""coordinates"": [-123.111904172786, 49.2840376438003], ""type"": ""Point""}";RICHARDS ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#138590
"{""coordinates"": [-123.114449278699, 49.28235470425], ""type"": ""Point""}";RICHARDS ST AND DUNSMUIR ST;https://app.vancouver.ca/vanmapmtc_net/#138595
"{""coordinates"": [-123.117866016374, 49.2800944634162], ""type"": ""Point""}";RICHARDS ST AND ROBSON ST;https://app.vancouver.ca/vanmapmtc_net/#138602
"{""coordinates"": [-123.122642374814, 49.2769340356239], ""type"": ""Point""}";RICHARDS ST AND HELMCKEN ST;https://app.vancouver.ca/vanmapmtc_net/#138608
"{""coordinates"": [-123.132099367685, 49.2660846293344], ""type"": ""Point""}";ALDER CROSSING AND W 6TH AV;https://app.vancouver.ca/vanmapmtc_net/#142640
"{""coordinates"": [-123.113478185389, 49.2817260488031], ""type"": ""Point""}";HOMER ST AND DUNSMUIR ST;https://app.vancouver.ca/vanmapmtc_net/#148595
"{""coordinates"": [-123.123266404433, 49.2752516613079], ""type"": ""Point""}";HOMER ST AND DAVIE ST;https://app.vancouver.ca/vanmapmtc_net/#148612
"{""coordinates"": [-123.125903106794, 49.2730809574494], ""type"": ""Point""}";HOMER ST AND PACIFIC BOULEVARD;https://app.vancouver.ca/vanmapmtc_net/#148616
"{""coordinates"": [-123.126493835695, 49.2659946350704], ""type"": ""Point""}";OAK ST AND W 6TH AV;https://app.vancouver.ca/vanmapmtc_net/#149643
"{""coordinates"": [-123.130377563799, 49.2045748984673], ""type"": ""Point""}";OAK ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#149840
"{""coordinates"": [-123.126624974494, 49.262440159041], ""type"": ""Point""}";OAK ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#150654
"{""coordinates"": [-123.126693954788, 49.2605802300165], ""type"": ""Point""}";OAK ST AND W 12TH AV;https://app.vancouver.ca/vanmapmtc_net/#150670
"{""coordinates"": [-123.127229786616, 49.257013577535], ""type"": ""Point""}";OAK ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#150690
"{""coordinates"": [-123.127546341188, 49.2492316149731], ""type"": ""Point""}";OAK ST AND W KING EDWARD AV;https://app.vancouver.ca/vanmapmtc_net/#150710
"{""coordinates"": [-123.128315682237, 49.2265526749615], ""type"": ""Point""}";OAK ST AND W 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#150790
"{""coordinates"": [-123.129289435584, 49.217120578055], ""type"": ""Point""}";OAK ST AND W 59TH AV;https://app.vancouver.ca/vanmapmtc_net/#150813
"{""coordinates"": [-123.128967164659, 49.2051673620157], ""type"": ""Point""}";SHAUGHNESSY ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#151840
"{""coordinates"": [-123.124190471262, 49.2633680513731], ""type"": ""Point""}";LAUREL ST AND W BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#153650
"{""coordinates"": [-123.121378020619, 49.2740276149469], ""type"": ""Point""}";DAVIE ST AND PACIFIC BOULEVARD;https://app.vancouver.ca/vanmapmtc_net/#155616
"{""coordinates"": [-123.114216163466, 49.2799672317341], ""type"": ""Point""}";HAMILTON ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#156600
"{""coordinates"": [-123.123898169217, 49.2170179280112], ""type"": ""Point""}";HEATHER ST AND W 59TH AV;https://app.vancouver.ca/vanmapmtc_net/#156813
"{""coordinates"": [-123.124435244545, 49.207070851153], ""type"": ""Point""}";HEATHER ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#156840
"{""coordinates"": [-123.124241751658, 49.2071521100562], ""type"": ""Point""}";HEATHER ST AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#156840
"{""coordinates"": [-123.108777374406, 49.2843192291516], ""type"": ""Point""}";CAMBIE ST AND WATER ST;https://app.vancouver.ca/vanmapmtc_net/#157580
"{""coordinates"": [-123.109119001491, 49.2835187256378], ""type"": ""Point""}";CAMBIE ST AND W CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#157589
"{""coordinates"": [-123.11324504948, 49.2793383842048], ""type"": ""Point""}";CAMBIE ST AND W GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#157600
"{""coordinates"": [-123.112273646781, 49.2787098421077], ""type"": ""Point""}";BEATTY ST AND GEORGIA VIADUCT;https://app.vancouver.ca/vanmapmtc_net/#160600
"{""coordinates"": [-123.11716072024, 49.2754746317627], ""type"": ""Point""}";BEATTY ST AND NELSON ST;https://app.vancouver.ca/vanmapmtc_net/#160606
"{""coordinates"": [-123.121546255782, 49.2082840482258], ""type"": ""Point""}";W 70TH AV AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#161840
"{""coordinates"": [-123.142185678125, 49.2085587189214], ""type"": ""Point""}";W 70TH AV AND SW MARINE DRIVE;https://app.vancouver.ca/vanmapmtc_net/#161840
"{""coordinates"": [-123.120369745433, 49.2490771897251], ""type"": ""Point""}";HEATHER ST AND W KING EDWARD AV;https://app.vancouver.ca/vanmapmtc_net/#163710
"{""coordinates"": [-123.117641077638, 49.2594954686654], ""type"": ""Point""}";ASH ST AND W 13TH AV;https://app.vancouver.ca/vanmapmtc_net/#165683
"{""coordinates"": [-123.115343165422, 49.2664072462001], ""type"": ""Point""}";CAMBIE BRIDGE AND W 2ND AV;https://app.vancouver.ca/vanmapmtc_net/#169640
"{""coordinates"": [-123.11479296742, 49.2641282821736], ""type"": ""Point""}";CAMBIE ST AND W 8TH AV;https://app.vancouver.ca/vanmapmtc_net/#170648
"{""coordinates"": [-123.114919809881, 49.2622522341437], ""type"": ""Point""}";CAMBIE ST AND W 10TH AV;https://app.vancouver.ca/vanmapmtc_net/#170654
"{""coordinates"": [-123.115084005258, 49.2569079328428], ""type"": ""Point""}";CAMBIE ST AND W 16TH AV;https://app.vancouver.ca/vanmapmtc_net/#170690
"{""coordinates"": [-123.115406053886, 49.2489908733174], ""type"": ""Point""}";CAMBIE ST AND W KING EDWARD AV;https://app.vancouver.ca/vanmapmtc_net/#170710
"{""coordinates"": [-123.116192190428, 49.2335434701942], ""type"": ""Point""}";CAMBIE ST AND W 41ST AV;https://app.vancouver.ca/vanmapmtc_net/#170750
"{""coordinates"": [-123.116342902447, 49.2298159520175], ""type"": ""Point""}";CAMBIE ST AND W 45TH AV;https://app.vancouver.ca/vanmapmtc_net/#170758
"{""coordinates"": [-123.116492357275, 49.2261139975318], ""type"": ""Point""}";CAMBIE ST AND W 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#170790
"{""coordinates"": [-123.116854384698, 49.2169387212252], ""type"": ""Point""}";CAMBIE ST AND W 59TH AV;https://app.vancouver.ca/vanmapmtc_net/#170813
"{""coordinates"": [-123.112867434885, 49.263916542973], ""type"": ""Point""}";YUKON ST AND W 8TH AV;https://app.vancouver.ca/vanmapmtc_net/#171648
"{""coordinates"": [-123.107195198806, 49.2819909700897], ""type"": ""Point""}";ABBOTT ST AND W HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#172590
"{""coordinates"": [-123.107619791786, 49.2786475633526], ""type"": ""Point""}";ABBOTT ST AND EXPO BOULEVARD;https://app.vancouver.ca/vanmapmtc_net/#172597
"{""coordinates"": [-123.11529125892, 49.2064472617093], ""type"": ""Point""}";YUKON ST AND W KENT AV NORTH;https://app.vancouver.ca/vanmapmtc_net/#172837
"{""coordinates"": [-123.112955735091, 49.2259848837328], ""type"": ""Point""}";ALBERTA ST AND W 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#175790
"{""coordinates"": [-123.104439414324, 49.2792457133774], ""type"": ""Point""}";CARRALL ST AND KEEFER ST;https://app.vancouver.ca/vanmapmtc_net/#178595
"{""coordinates"": [-123.109418684539, 49.2692955621268], ""type"": ""Point""}";COLUMBIA ST AND W 2ND AV;https://app.vancouver.ca/vanmapmtc_net/#179640
"{""coordinates"": [-123.109082543026, 49.2429927612335], ""type"": ""Point""}";MIDLOTHIAN AV AND CLANCY LORANGER WAY;https://app.vancouver.ca/vanmapmtc_net/#181730
"{""coordinates"": [-123.102255088011, 49.2813842134193], ""type"": ""Point""}";COLUMBIA ST AND E HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#186590
"{""coordinates"": [-123.102216051331, 49.2792734980665], ""type"": ""Point""}";QUEBEC ST AND KEEFER ST;https://app.vancouver.ca/vanmapmtc_net/#186594
"{""coordinates"": [-123.102124586693, 49.27760612334], ""type"": ""Point""}";QUEBEC ST AND EXPO BOULEVARD;https://app.vancouver.ca/vanmapmtc_net/#186597
"{""coordinates"": [-123.102960784439, 49.2629601199603], ""type"": ""Point""}";QUEBEC ST AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#186650
"{""coordinates"": [-123.09960646342, 49.2822849414713], ""type"": ""Point""}";MAIN ST AND E CORDOVA ST;https://app.vancouver.ca/vanmapmtc_net/#190589
"{""coordinates"": [-123.099729328914, 49.2794814692101], ""type"": ""Point""}";MAIN ST AND KEEFER ST;https://app.vancouver.ca/vanmapmtc_net/#190594
"{""coordinates"": [-123.09977226362, 49.2785785059798], ""type"": ""Point""}";MAIN ST AND E GEORGIA ST;https://app.vancouver.ca/vanmapmtc_net/#190596
"{""coordinates"": [-123.100696908039, 49.2691679881689], ""type"": ""Point""}";MAIN ST AND E 2ND AV;https://app.vancouver.ca/vanmapmtc_net/#190640
"{""coordinates"": [-123.056574980377, 49.277466391044], ""type"": ""Point""}";NANAIMO ST AND ADANAC ST;https://app.vancouver.ca/vanmapmtc_net/#270598
"{""coordinates"": [-123.056610298502, 49.2577697737395], ""type"": ""Point""}";NANAIMO ST AND GRANDVIEW HWY SOUTH;https://app.vancouver.ca/vanmapmtc_net/#270670
"{""coordinates"": [-123.05494602074, 49.2293858772314], ""type"": ""Point""}";ELLIOTT ST AND E 45TH AV;https://app.vancouver.ca/vanmapmtc_net/#270758
"{""coordinates"": [-123.054893132617, 49.2202194183552], ""type"": ""Point""}";ELLIOTT ST AND E 54TH AV;https://app.vancouver.ca/vanmapmtc_net/#270810
"{""coordinates"": [-123.049641862841, 49.2446219160799], ""type"": ""Point""}";SLOCAN ST AND E 29TH AV;https://app.vancouver.ca/vanmapmtc_net/#275710
"{""coordinates"": [-123.054029385048, 49.2400092615712], ""type"": ""Point""}";SLOCAN ST AND KINGSWAY;https://app.vancouver.ca/vanmapmtc_net/#275770
"{""coordinates"": [-123.044197202172, 49.2506240540315], ""type"": ""Point""}";RENFREW ST AND E 22ND AV;https://app.vancouver.ca/vanmapmtc_net/#279700
"{""coordinates"": [-123.044282243233, 49.2619519713698], ""type"": ""Point""}";RENFREW ST AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#280650
"{""coordinates"": [-123.044281395038, 49.2581708218746], ""type"": ""Point""}";RENFREW ST AND GRANDVIEW HIGHWAY;https://app.vancouver.ca/vanmapmtc_net/#280670
"{""coordinates"": [-123.041567907294, 49.2619127963208], ""type"": ""Point""}";NOOTKA ST AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#285650
"{""coordinates"": [-123.03620066087, 49.2811299439902], ""type"": ""Point""}";WINDERMERE ST AND E HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#296590
"{""coordinates"": [-123.033583347653, 49.2774429408845], ""type"": ""Point""}";RUPERT ST AND ADANAC ST;https://app.vancouver.ca/vanmapmtc_net/#298598
"{""coordinates"": [-123.033692731076, 49.2694599215321], ""type"": ""Point""}";RUPERT ST AND E 1ST AV;https://app.vancouver.ca/vanmapmtc_net/#300630
"{""coordinates"": [-123.033757565058, 49.2618913418213], ""type"": ""Point""}";RUPERT ST AND E BROADWAY;https://app.vancouver.ca/vanmapmtc_net/#300650
"{""coordinates"": [-123.033804698405, 49.2506001184197], ""type"": ""Point""}";RUPERT ST AND E 22ND AV;https://app.vancouver.ca/vanmapmtc_net/#300700
"{""coordinates"": [-123.041046715047, 49.2247419236721], ""type"": ""Point""}";KERR ST AND E 49TH AV;https://app.vancouver.ca/vanmapmtc_net/#300790
"{""coordinates"": [-123.041339465843, 49.2191638264559], ""type"": ""Point""}";KERR ST AND E 55TH AV;https://app.vancouver.ca/vanmapmtc_net/#300811
"{""coordinates"": [-123.033692731076, 49.2694599215321], ""type"": ""Point""}";TRANS CANADA HIGHWAY AND E 1ST AV;https://app.vancouver.ca/vanmapmtc_net/#303660
"{""coordinates"": [-123.027505787402, 49.2694674578281], ""type"": ""Point""}";TRANS CANADA HIGHWAY AND E 1ST AV;https://app.vancouver.ca/vanmapmtc_net/#303660
"{""coordinates"": [-123.028321982136, 49.2811220416012], ""type"": ""Point""}";SKEENA ST AND E HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#305580
"{""coordinates"": [-123.028517663987, 49.2581485708494], ""type"": ""Point""}";SKEENA ST AND GRANDVIEW HIGHWAY;https://app.vancouver.ca/vanmapmtc_net/#305670
"{""coordinates"": [-123.035876616588, 49.2341534988201], ""type"": ""Point""}";JOYCE ST AND KINGSWAY;https://app.vancouver.ca/vanmapmtc_net/#306770
"{""coordinates"": [-123.03236651056, 49.2200996831653], ""type"": ""Point""}";TYNE ST AND E 54TH AV;https://app.vancouver.ca/vanmapmtc_net/#313810
"{""coordinates"": [-123.023578267812, 49.2811179775647], ""type"": ""Point""}";BOUNDARY ROAD AND E HASTINGS ST;https://app.vancouver.ca/vanmapmtc_net/#320590
"{""coordinates"": [-123.023598545018, 49.2774268372126], ""type"": ""Point""}";BOUNDARY ROAD AND ADANAC ST;https://app.vancouver.ca/vanmapmtc_net/#320598
"{""coordinates"": [-123.023642649664, 49.2694567477204], ""type"": ""Point""}";BOUNDARY ROAD AND E 1ST AV;https://app.vancouver.ca/vanmapmtc_net/#320630
"{""coordinates"": [-123.023665234636, 49.2655617219936], ""type"": ""Point""}";BOUNDARY ROAD AND LOUGHEED HIGHWAY;https://app.vancouver.ca/vanmapmtc_net/#320650
"{""coordinates"": [-123.023699910408, 49.2601148624166], ""type"": ""Point""}";BOUNDARY ROAD AND E 11TH AV;https://app.vancouver.ca/vanmapmtc_net/#320665
"{""coordinates"": [-123.023710895959, 49.2581592414606], ""type"": ""Point""}";BOUNDARY ROAD AND GRANDVIEW HIGHWAY;https://app.vancouver.ca/vanmapmtc_net/#320670
"{""coordinates"": [-123.02372469216, 49.2542096307196], ""type"": ""Point""}";BOUNDARY ROAD AND E 18TH AV;https://app.vancouver.ca/vanmapmtc_net/#320687
"{""coordinates"": [-123.023784165321, 49.2445072618945], ""type"": ""Point""}";BOUNDARY ROAD AND E 29TH AV;https://app.vancouver.ca/vanmapmtc_net/#320710
"{""coordinates"": [-123.023643826583, 49.2374003706508], ""type"": ""Point""}";BOUNDARY ROAD AND WELLINGTON AV;https://app.vancouver.ca/vanmapmtc_net/#320715
