AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area;geo_point_2d
271;646;KAMLOOPS ST AND E 7TH AV;"{""coordinates"": [-123.0546994670282, 49.26387554952615], ""type"": ""Point""}";Hastings-Sunrise;49.26387554952615, -123.0546994670282
277;641;KASLO ST AND E 6TH AV;"{""coordinates"": [-123.04700815255707, 49.26476866827674], ""type"": ""Point""}";Hastings-Sunrise;49.26476866827674, -123.04700815255707
277;646;E 7TH AV AND KASLO ST;"{""coordinates"": [-123.04701383667404, 49.263865061837656], ""type"": ""Point""}";Hastings-Sunrise;49.263865061837656, -123.04701383667404
270;648;E 8TH AV AND NANAIMO ST;"{""coordinates"": [-123.0565998193684, 49.26297181252836], ""type"": ""Point""}";Grandview-Woodland;49.26297181252836, -123.0565998193684
270;634;E 4TH AV AND NANAIMO ST;"{""coordinates"": [-123.05659447787569, 49.26667790151932], ""type"": ""Point""}";Grandview-Woodland;49.26667790151932, -123.05659447787569
270;703;VANNESS AV AND NANAIMO ST;"{""coordinates"": [-123.05664235718098, 49.24843887667976], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24843887667976, -123.05664235718098
270;702;NANAIMO ST AND E 24TH AV;"{""coordinates"": [-123.05663940871295, 49.24880422829783], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24880422829783, -123.05663940871295
267;703;BRANT ST AND E 24TH AV;"{""coordinates"": [-123.05797424262092, 49.248838026900906], ""type"": ""Point""}";Kensington-Cedar Cottage;49.248838026900906, -123.05797424262092
289;633;E 3RD AV AND LILLOOET ST;"{""coordinates"": [-123.03898373773504, 49.267567533434985], ""type"": ""Point""}";Hastings-Sunrise;49.267567533434985, -123.03898373773504
255;634;E 4TH AV AND SEMLIN DRIVE;"{""coordinates"": [-123.0638724354713, 49.2668413821861], ""type"": ""Point""}";Grandview-Woodland;49.2668413821861, -123.0638724354713
117;612;JERVIS ST AND DAVIE ST;"{""coordinates"": [-123.13493186163417, 49.28280154601215], ""type"": ""Point""}";West End;49.28280154601215, -123.13493186163417
115;612;DAVIE ST AND NICOLA ST;"{""coordinates"": [-123.13748569978335, 49.28445467351947], ""type"": ""Point""}";West End;49.28445467351947, -123.13748569978335
113;612;DAVIE ST AND BIDWELL ST;"{""coordinates"": [-123.14023745301124, 49.286236171086266], ""type"": ""Point""}";West End;49.286236171086266, -123.14023745301124
110;612;DAVIE ST AND DENMAN ST;"{""coordinates"": [-123.14180961146721, 49.28725362123856], ""type"": ""Point""}";West End;49.28725362123856, -123.14180961146721
111;617;BEACH AV AND BURNABY ST;"{""coordinates"": [-123.1424904839131, 49.28630253374148], ""type"": ""Point""}";West End;49.28630253374148, -123.1424904839131
115;617;BEACH AV AND NICOLA ST;"{""coordinates"": [-123.14067379380738, 49.282343968056594], ""type"": ""Point""}";West End;49.282343968056594, -123.14067379380738
113;615;HARWOOD ST AND BIDWELL ST;"{""coordinates"": [-123.14236453472934, 49.28482995420836], ""type"": ""Point""}";West End;49.28482995420836, -123.14236453472934
114;613;CARDERO ST AND BURNABY ST;"{""coordinates"": [-123.1397280264619, 49.28451476116737], ""type"": ""Point""}";West End;49.28451476116737, -123.1397280264619
116;613;BURNABY ST AND BROUGHTON ST;"{""coordinates"": [-123.13736995860722, 49.28298808474954], ""type"": ""Point""}";West End;49.28298808474954, -123.13736995860722
118;617;BUTE ST AND BEACH AV;"{""coordinates"": [-123.13713715738572, 49.279279171778526], ""type"": ""Point""}";West End;49.279279171778526, -123.13713715738572
109;602;ROBSON ST AND GILFORD ST;"{""coordinates"": [-123.13700698070001, 49.292494853941974], ""type"": ""Point""}";West End;49.292494853941974, -123.13700698070001
110;605;DENMAN ST AND BARCLAY ST;"{""coordinates"": [-123.13755898794358, 49.290069209824395], ""type"": ""Point""}";West End;49.290069209824395, -123.13755898794358
109;605;BARCLAY ST AND GILFORD ST;"{""coordinates"": [-123.13913161323356, 49.29108705500494], ""type"": ""Point""}";West End;49.29108705500494, -123.13913161323356
108;606;CHILCO ST AND NELSON ST;"{""coordinates"": [-123.14156877233646, 49.29127326327308], ""type"": ""Point""}";West End;49.29127326327308, -123.14156877233646
109;606;NELSON ST AND GILFORD ST;"{""coordinates"": [-123.14019423559336, 49.29038341922318], ""type"": ""Point""}";West End;49.29038341922318, -123.14019423559336
108;607;CHILCO ST AND COMOX ST;"{""coordinates"": [-123.14263284801422, 49.290569198516934], ""type"": ""Point""}";West End;49.290569198516934, -123.14263284801422
119;615;THURLOW ST AND HARWOOD ST;"{""coordinates"": [-123.13332368252489, 49.27897707891235], ""type"": ""Point""}";West End;49.27897707891235, -123.13332368252489
119;616;THURLOW ST AND PACIFIC ST;"{""coordinates"": [-123.13438712967454, 49.27827284639191], ""type"": ""Point""}";West End;49.27827284639191, -123.13438712967454
077;750;W 41ST AV AND LARCH ST;"{""coordinates"": [-123.16274611005062, 49.23468661916164], ""type"": ""Point""}";Arbutus Ridge;49.23468661916164, -123.16274611005062
074;750;ELM ST AND W 41ST AV;"{""coordinates"": [-123.16415761640508, 49.23470793773571], ""type"": ""Point""}";Arbutus Ridge;49.23470793773571, -123.16415761640508
073;750;TRAFALGAR ST AND W 41ST AV;"{""coordinates"": [-123.16587287159922, 49.23473444335095], ""type"": ""Point""}";Arbutus Ridge;49.23473444335095, -123.16587287159922
081;755;YEW ST AND W 43RD AV;"{""coordinates"": [-123.15858865051449, 49.23276584244977], ""type"": ""Point""}";Kerrisdale;49.23276584244977, -123.15858865051449
079;755;VINE ST AND W 43RD AV;"{""coordinates"": [-123.15999736386895, 49.23278624418955], ""type"": ""Point""}";Kerrisdale;49.23278624418955, -123.15999736386895
077;755;W 43RD AV AND LARCH ST;"{""coordinates"": [-123.16281331830508, 49.23282939094817], ""type"": ""Point""}";Kerrisdale;49.23282939094817, -123.16281331830508
095;624;OGDEN AV AND MAPLE ST;"{""coordinates"": [-123.15002263762133, 49.277232128712114], ""type"": ""Point""}";Kitsilano;49.277232128712114, -123.15002263762133
097;624;OGDEN AV AND CYPRESS ST;"{""coordinates"": [-123.14763905916853, 49.27681667077151], ""type"": ""Point""}";Kitsilano;49.27681667077151, -123.14763905916853
122;750;W 41ST AV AND MARGUERITE ST;"{""coordinates"": [-123.14472231841773, 49.23440946158783], ""type"": ""Point""}";Shaughnessy;49.23440946158783, -123.14472231841773
122;747;MARGUERITE ST AND W 40TH AV;"{""coordinates"": [-123.1446768718824, 49.23570550952825], ""type"": ""Point""}";Shaughnessy;49.23570550952825, -123.1446768718824
186;580;COLUMBIA ST AND POWELL ST;"{""coordinates"": [-123.10217530763772, 49.28323850594199], ""type"": ""Point""}";Downtown;49.28323850594199, -123.10217530763772
090;724;ARBUTUS ST AND W 32ND AV;"{""coordinates"": [-123.15342539080595, 49.24301216974117], ""type"": ""Point""}";Arbutus Ridge;49.24301216974117, -123.15342539080595
091;755;EAST BOULEVARD AND W 43RD AV;"{""coordinates"": [-123.15507725224482, 49.232711213869514], ""type"": ""Point""}";Kerrisdale;49.232711213869514, -123.15507725224482
087;724;W 32ND AV AND YEW ST;"{""coordinates"": [-123.15490206207824, 49.24303839930815], ""type"": ""Point""}";Arbutus Ridge;49.24303839930815, -123.15490206207824
093;717;MAPLE ST AND NANTON AV;"{""coordinates"": [-123.15181691248252, 49.24761164333798], ""type"": ""Point""}";Arbutus Ridge;49.24761164333798, -123.15181691248252
095;712;MAPLE CRESCENT AND CYPRESS CRESCENT;"{""coordinates"": [-123.15013041571598, 49.24791559231643], ""type"": ""Point""}";Shaughnessy;49.24791559231643, -123.15013041571598
121;717;ANGUS DRIVE AND NANTON AV;"{""coordinates"": [-123.14614477135862, 49.247522996612254], ""type"": ""Point""}";Shaughnessy;49.247522996612254, -123.14614477135862
120;722;PINE CRESCENT AND W 30TH AV;"{""coordinates"": [-123.14702896164908, 49.2446392076077], ""type"": ""Point""}";Shaughnessy;49.2446392076077, -123.14702896164908
092;737;W 36TH AV AND MAPLE ST;"{""coordinates"": [-123.15188360818283, 49.239136366479656], ""type"": ""Point""}";Shaughnessy;49.239136366479656, -123.15188360818283
121;737;W 36TH AV AND ANGUS DRIVE;"{""coordinates"": [-123.14563197215521, 49.239042419374435], ""type"": ""Point""}";Shaughnessy;49.239042419374435, -123.14563197215521
121;730;W 33RD AV AND ANGUS DRIVE;"{""coordinates"": [-123.14553069523015, 49.24196395042112], ""type"": ""Point""}";Shaughnessy;49.24196395042112, -123.14553069523015
120;730;W 33RD AV AND PINE CRESCENT;"{""coordinates"": [-123.14680513242301, 49.241983107985526], ""type"": ""Point""}";Shaughnessy;49.241983107985526, -123.14680513242301
097;730;VALLEY DRIVE AND W 33RD AV;"{""coordinates"": [-123.14943268725193, 49.24202930294888], ""type"": ""Point""}";Arbutus Ridge;49.24202930294888, -123.14943268725193
120;733;W 34TH AV AND PINE CRESCENT;"{""coordinates"": [-123.14691405772899, 49.24079470693869], ""type"": ""Point""}";Shaughnessy;49.24079470693869, -123.14691405772899
092;733;QUILCHENA CRESCENT AND LINDEN ROAD;"{""coordinates"": [-123.15197298050312, 49.24122080702289], ""type"": ""Point""}";Arbutus Ridge;49.24122080702289, -123.15197298050312
090;722;VALLEY DRIVE AND ARBUTUS ST;"{""coordinates"": [-123.15334346308028, 49.245203194893016], ""type"": ""Point""}";Arbutus Ridge;49.245203194893016, -123.15334346308028
090;730;ARBUTUS ST AND W 33RD AV;"{""coordinates"": [-123.15345963245156, 49.242100204681634], ""type"": ""Point""}";Arbutus Ridge;49.242100204681634, -123.15345963245156
219;598;UNION ST AND RAYMUR AV;"{""coordinates"": [-123.08258154355492, 49.27735831605275], ""type"": ""Point""}";Strathcona;49.27735831605275, -123.08258154355492
222;598;UNION ST AND GLEN DRIVE;"{""coordinates"": [-123.08136244874255, 49.27733747551476], ""type"": ""Point""}";Strathcona;49.27733747551476, -123.08136244874255
135;810;W 57TH AV AND CARTIER ST;"{""coordinates"": [-123.13775059424871, 49.21932113292922], ""type"": ""Point""}";Oakridge;49.21932113292922, -123.13775059424871
124;811;W 58TH AV AND ADERA ST;"{""coordinates"": [-123.14382890446558, 49.218528166969605], ""type"": ""Point""}";Marpole;49.218528166969605, -123.14382890446558
125;802;W 54TH AV AND CHURCHILL ST;"{""coordinates"": [-123.14189417842591, 49.22172972059211], ""type"": ""Point""}";Kerrisdale;49.22172972059211, -123.14189417842591
124;802;ADERA ST AND W 54TH AV;"{""coordinates"": [-123.14370266281948, 49.22175286062621], ""type"": ""Point""}";Kerrisdale;49.22175286062621, -123.14370266281948
135;805;CARTIER ST AND W 56TH AV;"{""coordinates"": [-123.13772837368764, 49.21986415028886], ""type"": ""Point""}";Oakridge;49.21986415028886, -123.13772837368764
130;803;GRANVILLE ST AND W 55TH AV;"{""coordinates"": [-123.14008914154371, 49.220802487054634], ""type"": ""Point""}";Oakridge;49.220802487054634, -123.14008914154371
135;803;W 55TH AV AND CARTIER ST;"{""coordinates"": [-123.137692461605, 49.220768155297286], ""type"": ""Point""}";Oakridge;49.220768155297286, -123.137692461605
165;802;ASH ST AND W 54TH AV;"{""coordinates"": [-123.11824546358736, 49.22177666037691], ""type"": ""Point""}";Oakridge;49.22177666037691, -123.11824546358736
095;648;MAPLE ST AND W 8TH AV;"{""coordinates"": [-123.1504952128732, 49.26470100719729], ""type"": ""Point""}";Kitsilano;49.26470100719729, -123.1504952128732
095;650;MAPLE ST AND W BROADWAY;"{""coordinates"": [-123.15052901681511, 49.26378995555483], ""type"": ""Point""}";Kitsilano;49.26378995555483, -123.15052901681511
097;650;CYPRESS ST AND W BROADWAY;"{""coordinates"": [-123.1481299479355, 49.263751750213984], ""type"": ""Point""}";Kitsilano;49.263751750213984, -123.1481299479355
097;648;W 8TH AV AND CYPRESS ST;"{""coordinates"": [-123.14809506863362, 49.26466268558664], ""type"": ""Point""}";Kitsilano;49.26466268558664, -123.14809506863362
120;648;BURRARD ST AND W 8TH AV;"{""coordinates"": [-123.14572413900142, 49.26462535670058], ""type"": ""Point""}";Kitsilano;49.26462535670058, -123.14572413900142
156;810;W 57TH AV AND HEATHER ST;"{""coordinates"": [-123.12382694591263, 49.21914345440753], ""type"": ""Point""}";Oakridge;49.21914345440753, -123.12382694591263
153;811;LAUREL ST AND W 58TH AV;"{""coordinates"": [-123.12609647908614, 49.21813318636413], ""type"": ""Point""}";Marpole;49.21813318636413, -123.12609647908614
090;646;ARBUTUS ST AND W 7TH AV;"{""coordinates"": [-123.15286214599351, 49.26557799092413], ""type"": ""Point""}";Kitsilano;49.26557799092413, -123.15286214599351
090;638;W 3RD AV AND ARBUTUS ST;"{""coordinates"": [-123.15273341229606, 49.269012520539775], ""type"": ""Point""}";Kitsilano;49.269012520539775, -123.15273341229606
090;636;ARBUTUS ST AND W 2ND AV;"{""coordinates"": [-123.15270033716067, 49.2698937699564], ""type"": ""Point""}";Kitsilano;49.2698937699564, -123.15270033716067
090;631;YORK AV AND ARBUTUS ST;"{""coordinates"": [-123.15263523624063, 49.27165886658038], ""type"": ""Point""}";Kitsilano;49.27165886658038, -123.15263523624063
095;631;MAPLE ST AND YORK AV;"{""coordinates"": [-123.15023586204117, 49.271619158119705], ""type"": ""Point""}";Kitsilano;49.271619158119705, -123.15023586204117
095;638;MAPLE ST AND W 3RD AV;"{""coordinates"": [-123.15033202670487, 49.268974372929236], ""type"": ""Point""}";Kitsilano;49.268974372929236, -123.15033202670487
095;643;W 6TH AV AND MAPLE ST;"{""coordinates"": [-123.15034840822493, 49.26637647433966], ""type"": ""Point""}";Kitsilano;49.26637647433966, -123.15034840822493
095;646;MAPLE ST AND W 7TH AV;"{""coordinates"": [-123.15046344119955, 49.26553946473275], ""type"": ""Point""}";Kitsilano;49.26553946473275, -123.15046344119955
267;634;E 4TH AV AND GARDEN DRIVE;"{""coordinates"": [-123.05807389032498, 49.26679587705834], ""type"": ""Point""}";Grandview-Woodland;49.26679587705834, -123.05807389032498
263;704;SIDNEY ST AND E 26TH AV;"{""coordinates"": [-123.06272126020446, 49.24762156025367], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24762156025367, -123.06272126020446
266;703;GLADSTONE ST AND E 24TH AV;"{""coordinates"": [-123.0604725133377, 49.24886932696191], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24886932696191, -123.0604725133377
270;708;E 28TH AV AND NANAIMO ST;"{""coordinates"": [-123.0566484748816, 49.245799475257094], ""type"": ""Point""}";Kensington-Cedar Cottage;49.245799475257094, -123.0566484748816
270;704;NANAIMO ST AND E 26TH AV;"{""coordinates"": [-123.05664489505564, 49.24710210342855], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24710210342855, -123.05664489505564
246;770;KINGSWAY AND BEATRICE ST;"{""coordinates"": [-123.06651508439758, 49.24579723837794], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24579723837794, -123.06651508439758
040;791;W 49TH AV AND DUNBAR ST;"{""coordinates"": [-123.1854900407571, 49.227479067755766], ""type"": ""Point""}";Dunbar-Southlands;49.227479067755766, -123.1854900407571
042;791;W 49TH AV AND COLLINGWOOD ST;"{""coordinates"": [-123.18217627624993, 49.227455907169066], ""type"": ""Point""}";Dunbar-Southlands;49.227455907169066, -123.18217627624993
263;707;SIDNEY ST AND E 28TH AV;"{""coordinates"": [-123.06277932041648, 49.24581800290762], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24581800290762, -123.06277932041648
311;703;KOOTENAY ST AND E 25TH AV;"{""coordinates"": [-123.02625563053682, 49.247907348225795], ""type"": ""Point""}";Renfrew-Collingwood;49.247907348225795, -123.02625563053682
126;602;ROBSON ST AND HOWE ST;"{""coordinates"": [-123.12080340829894, 49.28199625335289], ""type"": ""Point""}";Downtown;49.28199625335289, -123.12080340829894
130;602;ROBSON ST AND GRANVILLE ST;"{""coordinates"": [-123.1198282455115, 49.28136461084049], ""type"": ""Point""}";Downtown;49.28136461084049, -123.1198282455115
157;600;CAMBIE ST AND W GEORGIA ST;"{""coordinates"": [-123.11324504785219, 49.279338384428065], ""type"": ""Point""}";Downtown;49.279338384428065, -123.11324504785219
282;763;E 47TH AV AND RALEIGH ST;"{""coordinates"": [-123.04762640535256, 49.22751787514195], ""type"": ""Point""}";Killarney;49.22751787514195, -123.04762640535256
124;638;FIR ST AND W 3RD AV;"{""coordinates"": [-123.1408259199156, 49.26882189086833], ""type"": ""Point""}";Fairview;49.26882189086833, -123.1408259199156
126;612;DAVIE ST AND HOWE ST;"{""coordinates"": [-123.12719015447645, 49.27779206826449], ""type"": ""Point""}";Downtown;49.27779206826449, -123.12719015447645
160;602;BEATTY ST AND ROBSON ST;"{""coordinates"": [-123.11398201313469, 49.27758076563092], ""type"": ""Point""}";Downtown;49.27758076563092, -123.11398201313469
157;604;CAMBIE ST AND SMITHE ST;"{""coordinates"": [-123.11654524588734, 49.277155965761054], ""type"": ""Point""}";Downtown;49.277155965761054, -123.11654524588734
156;604;SMITHE ST AND HAMILTON ST;"{""coordinates"": [-123.11751722176317, 49.27778351985578], ""type"": ""Point""}";Downtown;49.27778351985578, -123.11751722176317
148;604;SMITHE ST AND HOMER ST;"{""coordinates"": [-123.11848760269254, 49.278412209736196], ""type"": ""Point""}";Downtown;49.278412209736196, -123.11848760269254
120;601;BURRARD ST AND ALBERNI ST;"{""coordinates"": [-123.12173901460542, 49.28400379537335], ""type"": ""Point""}";West End;49.28400379537335, -123.12173901460542
119;602;THURLOW ST AND ROBSON ST;"{""coordinates"": [-123.12481999849804, 49.2846019887185], ""type"": ""Point""}";West End;49.2846019887185, -123.12481999849804
116;603;BROUGHTON ST AND HARO ST;"{""coordinates"": [-123.13099176089084, 49.28721034165037], ""type"": ""Point""}";West End;49.28721034165037, -123.13099176089084
118;603;BUTE ST AND HARO ST;"{""coordinates"": [-123.1280428400028, 49.285301201436376], ""type"": ""Point""}";West End;49.285301201436376, -123.1280428400028
118;605;BUTE ST AND BARCLAY ST;"{""coordinates"": [-123.12910585415918, 49.28459784639256], ""type"": ""Point""}";West End;49.28459784639256, -123.12910585415918
116;605;BROUGHTON ST AND BARCLAY ST;"{""coordinates"": [-123.13205517091579, 49.28650624864092], ""type"": ""Point""}";West End;49.28650624864092, -123.13205517091579
117;607;COMOX ST AND JERVIS ST;"{""coordinates"": [-123.13280462893053, 49.28420800449966], ""type"": ""Point""}";West End;49.28420800449966, -123.13280462893053
222;600;VENABLES ST AND GLEN DRIVE;"{""coordinates"": [-123.0813706497952, 49.27681520935876], ""type"": ""Point""}";Strathcona;49.27681520935876, -123.0813706497952
226;596;VERNON DRIVE AND E GEORGIA ST;"{""coordinates"": [-123.07923857839317, 49.2785829312604], ""type"": ""Point""}";Strathcona;49.2785829312604, -123.07923857839317
230;580;POWELL ST AND CLARK DRIVE;"{""coordinates"": [-123.07705289664291, 49.28306820879469], ""type"": ""Point""}";Grandview-Woodland;49.28306820879469, -123.07705289664291
235;580;POWELL ST AND WOODLAND DRIVE;"{""coordinates"": [-123.07256952354226, 49.28348208292886], ""type"": ""Point""}";Grandview-Woodland;49.28348208292886, -123.07256952354226
250;580;COMMERCIAL DRIVE AND POWELL ST;"{""coordinates"": [-123.07033145706669, 49.28384196044045], ""type"": ""Point""}";Grandview-Woodland;49.28384196044045, -123.07033145706669
251;580;POWELL ST AND SALSBURY DRIVE;"{""coordinates"": [-123.06820318220268, 49.28422190599849], ""type"": ""Point""}";Grandview-Woodland;49.28422190599849, -123.06820318220268
097;750;W 41ST AV AND CYPRESS ST;"{""coordinates"": [-123.149206074354, 49.23447920068976], ""type"": ""Point""}";Shaughnessy;49.23447920068976, -123.149206074354
122;755;W 43RD AV AND MARGUERITE ST;"{""coordinates"": [-123.1447911260002, 49.23255349233568], ""type"": ""Point""}";Kerrisdale;49.23255349233568, -123.1447911260002
097;752;W 42ND AV AND CYPRESS ST;"{""coordinates"": [-123.14926487257382, 49.23350552335983], ""type"": ""Point""}";Kerrisdale;49.23350552335983, -123.14926487257382
092;757;MAPLE ST AND W 44TH AV;"{""coordinates"": [-123.15215185267336, 49.23177925532219], ""type"": ""Point""}";Kerrisdale;49.23177925532219, -123.15215185267336
212;598;HAWKS AV AND UNION ST;"{""coordinates"": [-123.08732222084986, 49.277441004564245], ""type"": ""Point""}";Strathcona;49.277441004564245, -123.08732222084986
212;592;E PENDER ST AND HAWKS AV;"{""coordinates"": [-123.08720566111393, 49.280146744232596], ""type"": ""Point""}";Strathcona;49.280146744232596, -123.08720566111393
217;592;E PENDER ST AND CAMPBELL AV;"{""coordinates"": [-123.08482922252834, 49.28010870061597], ""type"": ""Point""}";Strathcona;49.28010870061597, -123.08482922252834
226;592;VERNON DRIVE AND E PENDER ST;"{""coordinates"": [-123.07918321789609, 49.28039862832691], ""type"": ""Point""}";Strathcona;49.28039862832691, -123.07918321789609
226;594;VERNON DRIVE AND FRANCES ST;"{""coordinates"": [-123.07920849965211, 49.27949520714152], ""type"": ""Point""}";Strathcona;49.27949520714152, -123.07920849965211
222;594;GLEN DRIVE AND KEEFER ST;"{""coordinates"": [-123.08132427187485, 49.27914520117885], ""type"": ""Point""}";Strathcona;49.27914520117885, -123.08132427187485
236;730;E 33RD AV AND FLEMING ST;"{""coordinates"": [-123.07222425529885, 49.24014891227163], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24014891227163, -123.07222425529885
237;730;E 33RD AV AND ARGYLE ST;"{""coordinates"": [-123.07125979261694, 49.24013503786088], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24013503786088, -123.07125979261694
097;640;W 4TH AV AND CYPRESS ST;"{""coordinates"": [-123.14796663198479, 49.26805363719323], ""type"": ""Point""}";Kitsilano;49.26805363719323, -123.14796663198479
097;638;CYPRESS ST AND W 3RD AV;"{""coordinates"": [-123.14793348984345, 49.268936072816295], ""type"": ""Point""}";Kitsilano;49.268936072816295, -123.14793348984345
120;646;BURRARD ST AND W 7TH AV;"{""coordinates"": [-123.14569301364207, 49.26546334434294], ""type"": ""Point""}";Kitsilano;49.26546334434294, -123.14569301364207
092;630;CORNWALL AV AND LABURNUM ST;"{""coordinates"": [-123.15141817085753, 49.272521011234836], ""type"": ""Point""}";Kitsilano;49.272521011234836, -123.15141817085753
096;627;WALNUT ST AND CREELMAN AV;"{""coordinates"": [-123.14891262348586, 49.274470899143786], ""type"": ""Point""}";Kitsilano;49.274470899143786, -123.14891262348586
098;625;MCNICOLL AV AND CHESTNUT ST;"{""coordinates"": [-123.14621890155072, 49.27619346397223], ""type"": ""Point""}";Kitsilano;49.27619346397223, -123.14621890155072
098;626;CHESTNUT ST AND WHYTE AV;"{""coordinates"": [-123.14625616296901, 49.27531136656928], ""type"": ""Point""}";Kitsilano;49.27531136656928, -123.14625616296901
090;650;W BROADWAY AND ARBUTUS ST;"{""coordinates"": [-123.1529275546611, 49.263828570541065], ""type"": ""Point""}";Kitsilano;49.263828570541065, -123.1529275546611
319;759;KIRKLAND ST AND E 46TH AV;"{""coordinates"": [-123.02473169953497, 49.22810036431981], ""type"": ""Point""}";Killarney;49.22810036431981, -123.02473169953497
319;795;HENNEPIN AV AND RADISSON ST;"{""coordinates"": [-123.02456665856275, 49.22152652527474], ""type"": ""Point""}";Killarney;49.22152652527474, -123.02456665856275
120;640;W 4TH AV AND BURRARD ST;"{""coordinates"": [-123.14564552290251, 49.26802667728458], ""type"": ""Point""}";Kitsilano;49.26802667728458, -123.14564552290251
087;636;W 2ND AV AND YEW ST;"{""coordinates"": [-123.15506964705627, 49.26993290987475], ""type"": ""Point""}";Kitsilano;49.26993290987475, -123.15506964705627
087;646;W 7TH AV AND YEW ST;"{""coordinates"": [-123.15523204369056, 49.26561620918258], ""type"": ""Point""}";Kitsilano;49.26561620918258, -123.15523204369056
124;683;W 13TH AV AND FIR ST;"{""coordinates"": [-123.14116013559969, 49.259871810210385], ""type"": ""Point""}";Fairview;49.259871810210385, -123.14116013559969
134;683;W 13TH AV AND HEMLOCK ST;"{""coordinates"": [-123.1362363191413, 49.2597927342408], ""type"": ""Point""}";Fairview;49.2597927342408, -123.1362363191413
122;664;W 11TH AV AND PINE ST;"{""coordinates"": [-123.14345951237091, 49.26178940187542], ""type"": ""Point""}";Fairview;49.26178940187542, -123.14345951237091
124;664;FIR ST AND W 11TH AV;"{""coordinates"": [-123.14108993147836, 49.26175138256144], ""type"": ""Point""}";Fairview;49.26175138256144, -123.14108993147836
122;686;W 14TH AV AND PINE ST;"{""coordinates"": [-123.1435647409161, 49.25899045565535], ""type"": ""Point""}";Fairview;49.25899045565535, -123.1435647409161
277;685;E 15TH AV AND KASLO ST;"{""coordinates"": [-123.04703526839356, 49.25633437154548], ""type"": ""Point""}";Renfrew-Collingwood;49.25633437154548, -123.04703526839356
277;688;E 16TH AV AND KASLO ST;"{""coordinates"": [-123.04703991969367, 49.25542993663951], ""type"": ""Point""}";Renfrew-Collingwood;49.25542993663951, -123.04703991969367
122;670;W 12TH AV AND PINE ST;"{""coordinates"": [-123.1434946536005, 49.26084997031658], ""type"": ""Point""}";Fairview;49.26084997031658, -123.1434946536005
152;612;HAMILTON ST AND DAVIE ST;"{""coordinates"": [-123.12271349736866, 49.27489341580592], ""type"": ""Point""}";Downtown;49.27489341580592, -123.12271349736866
157;616;PACIFIC BOULEVARD AND PACIFIC ST;"{""coordinates"": [-123.1259031074279, 49.27308096156965], ""type"": ""Point""}";Downtown;49.27308096156965, -123.1259031074279
