,date,intersection,intersection_id,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol,latitude,longitude,geometry
10,2017-07-26,ALDER ST AND W 13TH AV,9,sunny,,True,True,False,True,True,True,08:00 - 09:00,14.0,28.0,26.0,29.0,16.0,53.0,36.0,13.0,45.0,10.0,18.0,24.0,16:55 - 17:55,52.0,25.0,40.0,11.0,20.0,37.0,20.0,23.0,42.0,15.0,22.0,40.0,,,,,,,,,,,,,,49.25971629,-123.1314975,POINT (-123.1314975 49.25971629)
11,2017-07-26,ALDER ST AND W 14TH AV,10,sunny,,True,True,False,True,True,True,08:00 - 09:00,10.0,20.0,27.0,39.0,10.0,23.0,11.0,18.0,35.0,13.0,14.0,14.0,17:00 - 18:00,38.0,14.0,39.0,28.0,23.0,24.0,8.0,30.0,34.0,27.0,19.0,35.0,,,,,,,,,,,,,,49.25879595,-123.1315317,POINT (-123.1315317 49.25879595)
12,2017-01-10,W 6TH AV AND ALDER ST,11,cloudy,,True,True,False,True,True,True,08:00 - 09:00,,,,,,1390.0,,38.0,33.0,,,1437.0,16:55 - 17:55,,,,1.0,,1512.0,,52.0,52.0,2.0,,1565.0,,,,,,,,,,,,,,49.26607119,-123.131261,POINT (-123.131261 49.26607119)
13,2017-08-01,E 14TH AV AND MAIN ST,12,sunny,,True,True,False,True,True,True,08:00 - 09:00,,96.0,791.0,65.0,113.0,56.0,16.0,110.0,1180.0,22.0,28.0,51.0,16:35 - 17:35,31.0,224.0,1267.0,20.0,261.0,60.0,19.0,201.0,954.0,35.0,234.0,109.0,,,,,,,,,,,,,,49.25839386,-123.1011524,POINT (-123.1011524 49.25839386)
14,2017-05-03,ALMA ST AND W 10TH AV,13,rain,,True,True,False,True,True,True,08:00 - 09:00,,61.0,490.0,2.0,42.0,667.0,2.0,28.0,475.0,1.0,40.0,620.0,17:00 - 18:00,2.0,13.0,353.0,,37.0,483.0,2.0,36.0,418.0,6.0,76.0,858.0,,,,,,,,,,,,,,49.2634792,-123.185889,POINT (-123.185889 49.2634792)
15,2017-02-07,ALMA ST AND W 4TH AV,14,snow,,True,True,False,True,True,True,08:00 - 09:00,1.0,35.0,44.0,1.0,72.0,935.0,1.0,90.0,393.0,2.0,42.0,587.0,16:40 - 17:40,2.0,59.0,42.0,,102.0,646.0,,201.0,429.0,2.0,156.0,1201.0,,,,,,,,,,,,,,49.26862303,-123.1857025,POINT (-123.1857025 49.26862303)
16,2017-03-22,ARBUTUS ST AND CORNWALL AV,15,rain,,True,True,False,True,True,True,08:00 - 09:00,,19.0,38.0,7.0,12.0,611.0,1.0,26.0,71.0,17.0,24.0,696.0,16:30 - 17:30,3.0,45.0,80.0,10.0,14.0,701.0,1.0,30.0,91.0,4.0,33.0,698.0,,,,,,,,,,,,,,49.27254027,-123.1526034,POINT (-123.1526034 49.27254027)
17,2017-05-18,PACIFIC BOULEVARD AND DAVIE ST,16,cloudy,,True,True,False,True,True,True,07:50 - 08:50,,356.0,824.0,,135.0,218.0,,213.0,719.0,,138.0,197.0,17:00 - 18:00,,774.0,1108.0,,454.0,192.0,,463.0,833.0,,310.0,256.0,,,,,,,,,,,,,,49.27402762,-123.121378,POINT (-123.121378 49.27402762)
18,2017-06-13,ARBUTUS ST AND W 12TH AV,17,rain,,True,True,False,True,True,True,08:00 - 09:00,,28.0,746.0,3.0,79.0,777.0,4.0,41.0,839.0,3.0,57.0,753.0,17:00 - 18:00,1.0,24.0,717.0,2.0,134.0,949.0,5.0,24.0,743.0,2.0,57.0,745.0,,,,,,,,,,,,,,49.26100339,-123.153034,POINT (-123.153034 49.26100339)
19,2017-06-07,W 16TH AV AND ARBUTUS ST,18,cloudy,,True,True,False,True,True,True,08:00 - 09:00,45.0,29.0,758.0,3.0,42.0,808.0,17.0,23.0,1251.0,1.0,23.0,968.0,17:00 - 18:00,79.0,50.0,857.0,4.0,67.0,1110.0,24.0,58.0,1007.0,5.0,82.0,781.0,,,,,,,,,,,,,,49.25727689,-123.1528926,POINT (-123.1528926 49.25727689)
20,2017-08-30,W 4TH AV AND ARBUTUS ST,19,cloudy,,True,True,False,True,True,True,07:55 - 08:55,,64.0,181.0,1.0,59.0,770.0,2.0,45.0,171.0,4.0,31.0,935.0,16:55 - 17:55,,296.0,222.0,3.0,145.0,914.0,7.0,318.0,306.0,2.0,152.0,989.0,,,,,,,,,,,,,,49.26813109,-123.1527662,POINT (-123.1527662 49.26813109)
21,2017-05-25,W BROADWAY AND ARBUTUS ST,20,sunny,,True,True,False,True,True,True,08:00 - 09:00,6.0,98.0,348.0,1.0,126.0,546.0,19.0,149.0,546.0,3.0,151.0,936.0,16:55 - 17:55,1.0,125.0,290.0,,182.0,828.0,25.0,309.0,597.0,4.0,231.0,888.0,,,,,,,,,,,,,,49.26382857,-123.1529276,POINT (-123.1529276 49.26382857)
22,2017-06-29,W BROADWAY AND ARBUTUS ST,20,cloudy,,True,True,False,True,True,True,07:55 - 08:55,6.0,119.0,405.0,6.0,87.0,681.0,17.0,145.0,516.0,3.0,151.0,898.0,16:55 - 17:55,15.0,156.0,441.0,9.0,213.0,1019.0,17.0,248.0,623.0,8.0,308.0,1120.0,,,,,,,,,,,,,,49.26382857,-123.1529276,POINT (-123.1529276 49.26382857)
23,2017-11-16,W BROADWAY AND ARBUTUS ST,20,rain,,True,True,True,True,False,True,11:00 - 12:00,2.0,71.0,236.0,4.0,71.0,718.0,3.0,153.0,454.0,4.0,34.0,633.0,,,,,,,,,,,,,,11:00 - 12:00,2.0,71.0,236.0,4.0,71.0,718.0,3.0,153.0,454.0,4.0,34.0,633.0,49.26382857,-123.1529276,POINT (-123.1529276 49.26382857)
24,2017-06-08,W KING EDWARD AV AND ARBUTUS ST,21,rain,,True,True,False,True,True,True,08:00 - 09:00,1.0,25.0,829.0,,19.0,974.0,16.0,1.0,1253.0,2.0,8.0,1097.0,17:00 - 18:00,,22.0,1208.0,2.0,38.0,978.0,9.0,9.0,1571.0,3.0,37.0,1183.0,,,,,,,,,,,,,,49.25154779,-123.1531059,POINT (-123.1531059 49.25154779)
25,2017-05-16,E 16TH AV AND MAIN ST,22,rain,,True,True,False,True,True,True,08:00 - 09:00,3.0,36.0,825.0,2.0,63.0,588.0,8.0,22.0,1229.0,,32.0,287.0,17:00 - 18:00,8.0,100.0,1124.0,5.0,205.0,302.0,9.0,101.0,987.0,5.0,135.0,437.0,,,,,,,,,,,,,,49.25658433,-123.1012275,POINT (-123.1012275 49.25658433)
26,2017-01-10,ASH ST AND W 12TH AV,23,snow,,True,True,False,True,True,True,07:50 - 08:50,1.0,138.0,126.0,,124.0,1256.0,7.0,44.0,198.0,,91.0,998.0,16:15 - 17:15,1.0,203.0,367.0,1.0,109.0,992.0,1.0,59.0,129.0,,172.0,930.0,,,,,,,,,,,,,,49.26043477,-123.1176065,POINT (-123.1176065 49.26043477)
27,2017-03-21,BALSAM ST AND CORNWALL AV,24,rain,,True,True,False,True,True,True,07:55 - 08:55,6.0,14.0,20.0,13.0,11.0,540.0,1.0,14.0,36.0,8.0,8.0,515.0,16:50 - 17:50,7.0,34.0,19.0,29.0,35.0,616.0,,19.0,38.0,8.0,28.0,570.0,,,,,,,,,,,,,,49.27265424,-123.1597114,POINT (-123.1597114 49.27265424)
28,2017-08-31,E 1ST AV AND MAIN ST,25,sunny,,True,True,False,True,True,True,07:55 - 08:55,5.0,67.0,1286.0,178.0,179.0,39.0,76.0,29.0,1497.0,92.0,166.0,38.0,16:55 - 17:55,45.0,101.0,1581.0,130.0,235.0,42.0,23.0,91.0,1264.0,146.0,251.0,111.0,,,,,,,,,,,,,,49.27011724,-123.1006575,POINT (-123.1006575 49.27011724)
29,2017-01-10,BEATTY ST AND ROBSON ST,26,snow,,True,True,False,True,True,True,07:55 - 08:55,6.0,254.0,269.0,,,,21.0,127.0,314.0,9.0,139.0,120.0,16:50 - 17:50,17.0,261.0,327.0,,,,11.0,184.0,350.0,26.0,122.0,152.0,,,,,,,,,,,,,,49.27758077,-123.113982,POINT (-123.113982 49.27758077)
30,2017-01-24,BEATTY ST AND W GEORGIA ST,27,sunny,,True,True,False,True,True,True,08:00 - 09:00,11.0,148.0,220.0,,412.0,,51.0,117.0,314.0,5.0,195.0,1465.0,16:35 - 17:35,20.0,158.0,260.0,,492.0,,17.0,167.0,477.0,7.0,198.0,1932.0,,,,,,,,,,,,,,49.27870984,-123.1122736,POINT (-123.1122736 49.27870984)
31,2017-04-12,BEATTY ST AND W PENDER ST,28,rain,,True,True,False,True,True,True,08:00 - 09:00,,107.0,,34.0,55.0,699.0,10.0,296.0,121.0,5.0,41.0,318.0,17:00 - 18:00,,178.0,,14.0,131.0,499.0,10.0,661.0,204.0,44.0,95.0,675.0,,,,,,,,,,,,,,49.28123843,-123.1084552,POINT (-123.1084552 49.28123843)
32,2017-08-31,MAIN ST AND E 33RD AV,29,sunny,,True,True,False,True,True,True,07:55 - 08:55,3.0,33.0,635.0,20.0,18.0,710.0,10.0,25.0,1149.0,8.0,18.0,369.0,16:55 - 17:55,7.0,101.0,1161.0,9.0,58.0,426.0,8.0,57.0,1013.0,12.0,49.0,622.0,,,,,,,,,,,,,,49.24050237,-123.1014864,POINT (-123.1014864 49.24050237)
33,2017-03-02,W 12TH AV AND BIRCH ST,30,rain,,True,True,False,True,True,True,07:45 - 08:45,,24.0,33.0,,3.0,806.0,2.0,15.0,49.0,1.0,4.0,850.0,16:35 - 17:35,,20.0,73.0,1.0,4.0,903.0,,11.0,26.0,,3.0,764.0,,,,,,,,,,,,,,49.26069383,-123.1338317,POINT (-123.1338317 49.26069383)
34,2017-03-02,W 15TH AV AND BIRCH ST,31,rain,,True,True,False,True,True,True,07:55 - 08:55,,36.0,19.0,3.0,,1123.0,,,,,,459.0,16:40 - 17:40,,12.0,32.0,1.0,,867.0,,,,1.0,,689.0,,,,,,,,,,,,,,49.25791451,-123.1339345,POINT (-123.1339345 49.25791451)
35,2017-03-02,W 6TH AV AND BIRCH ST,32,rain,,True,True,False,True,True,True,08:00 - 09:00,,9.0,13.0,,,1029.0,2.0,18.0,45.0,3.0,,1377.0,17:00 - 18:00,,29.0,12.0,1.0,,1136.0,1.0,15.0,60.0,,,1319.0,,,,,,,,,,,,,,49.26610918,-123.1336317,POINT (-123.1336317 49.26610918)
36,2017-03-08,BIRCH ST AND W BROADWAY,33,snow,,True,True,False,True,True,True,08:00 - 09:00,,169.0,66.0,1.0,35.0,1050.0,14.0,58.0,46.0,,43.0,748.0,16:35 - 17:35,10.0,170.0,152.0,7.0,40.0,1094.0,2.0,127.0,59.0,4.0,50.0,904.0,,,,,,,,,,,,,,49.26352068,-123.1337262,POINT (-123.1337262 49.26352068)
37,2017-03-28,E HASTINGS ST AND WALKWAY,34,rain,,True,True,False,True,True,True,08:00 - 09:00,1.0,3.0,69.0,,57.0,1590.0,,44.0,64.0,1.0,34.0,886.0,16:40 - 17:40,,21.0,24.0,,75.0,1061.0,1.0,53.0,71.0,3.0,45.0,2095.0,,,,,,,,,,,,,,49.28111347,-123.033577,POINT (-123.033577 49.28111347)
38,2017-10-26,E 3RD AV AND MAIN ST,35,sunny,,True,True,False,True,True,True,08:00 - 09:00,5.0,2.0,1316.0,9.0,93.0,21.0,41.0,4.0,1608.0,,41.0,17.0,17:00 - 18:00,9.0,,1506.0,2.0,201.0,23.0,24.0,5.0,1220.0,2.0,79.0,54.0,,,,,,,,,,,,,,49.26821819,-123.1007371,POINT (-123.1007371 49.26821819)
39,2017-10-18,BLENHEIM ST AND W 10TH AV,36,rain,,True,True,False,True,True,True,08:00 - 09:00,2.0,14.0,158.0,2.0,22.0,711.0,3.0,11.0,286.0,,16.0,598.0,16:10 - 17:10,3.0,3.0,173.0,,21.0,563.0,,8.0,208.0,1.0,6.0,688.0,,,,,,,,,,,,,,49.26335371,-123.177876,POINT (-123.177876 49.26335371)
40,2017-10-19,BLENHEIM ST AND W 16TH AV,37,rain,,True,True,False,True,True,True,08:00 - 09:00,4.0,27.0,246.0,6.0,6.0,705.0,,14.0,481.0,6.0,7.0,762.0,16:30 - 17:30,2.0,,243.0,4.0,3.0,806.0,2.0,10.0,356.0,11.0,11.0,860.0,,,,,,,,,,,,,,49.25781716,-123.1780769,POINT (-123.1780769 49.25781716)
41,2017-03-07,PINE ST AND W 12TH AV,38,snow,,True,True,False,True,True,True,08:00 - 09:00,,8.0,60.0,,10.0,746.0,5.0,7.0,60.0,,14.0,958.0,16:55 - 17:55,9.0,14.0,81.0,1.0,9.0,826.0,,9.0,41.0,,14.0,914.0,,,,,,,,,,,,,,49.26084997,-123.1434947,POINT (-123.1434947 49.26084997)
42,2017-03-02,PINE ST AND W 16TH AV,39,partly cloudy,,True,True,False,True,True,True,08:00 - 09:00,,4.0,19.0,,1.0,805.0,,1.0,30.0,,,983.0,16:40 - 17:40,,12.0,26.0,,1.0,1006.0,,,11.0,,,876.0,,,,,,,,,,,,,,49.25713076,-123.1436356,POINT (-123.1436356 49.25713076)
43,2017-04-04,PINE ST AND W 4TH AV,40,rain,,True,True,False,True,True,True,08:00 - 09:00,18.0,31.0,35.0,,45.0,1104.0,25.0,23.0,109.0,1.0,27.0,1347.0,17:00 - 18:00,30.0,61.0,95.0,2.0,74.0,1356.0,16.0,93.0,172.0,2.0,43.0,1161.0,,,,,,,,,,,,,,49.26797681,-123.1432292,POINT (-123.1432292 49.26797681)
44,2017-08-31,E 41ST AV AND MAIN ST,41,sunny,,True,True,False,True,True,True,08:00 - 09:00,2.0,57.0,848.0,4.0,2.0,1021.0,2.0,19.0,957.0,,67.0,700.0,16:25 - 17:25,2.0,34.0,1089.0,,5.0,677.0,1.0,17.0,891.0,2.0,86.0,1485.0,,,,,,,,,,,,,,49.23307915,-123.1015186,POINT (-123.1015186 49.23307915)
45,2017-03-07,PINE ST AND W BROADWAY,42,snow,,True,True,True,True,True,True,08:00 - 09:00,6.0,104.0,70.0,1.0,54.0,892.0,18.0,86.0,76.0,3.0,107.0,973.0,16:50 - 17:50,20.0,102.0,221.0,5.0,61.0,1030.0,1.0,159.0,100.0,1.0,106.0,899.0,09:00 - 10:00,,2.0,2.0,,,19.0,,1.0,,,,15.0,49.26367556,-123.1433878,POINT (-123.1433878 49.26367556)
46,2017-10-12,PRINCE EDWARD ST AND E 8TH AV,43,rain,,True,True,True,True,True,True,08:00 - 09:00,,,,,15.0,51.0,,27.0,33.0,,6.0,67.0,16:30 - 17:30,,41.0,,,19.0,32.0,,21.0,27.0,,67.0,110.0,15:00 - 16:00,,53.0,,,25.0,20.0,,12.0,22.0,,30.0,91.0,49.26347822,-123.0959122,POINT (-123.0959122 49.26347822)
47,2017-04-13,BOUNDARY ROAD AND MOSCROP ST,44,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,2.0,5.0,824.0,,7.0,345.0,5.0,5.0,905.0,,5.0,20.0,16:50 - 17:50,2.0,13.0,1059.0,1.0,7.0,545.0,7.0,4.0,1051.0,,3.0,77.0,,,,,,,,,,,,,,49.24301893,-123.0237214,POINT (-123.0237214 49.24301893)
48,2017-10-31,MAIN ST AND E 4TH AV,45,cloudy,,True,True,False,True,True,True,07:55 - 08:55,1.0,,1061.0,,28.0,5.0,48.0,1.0,1498.0,,42.0,22.0,16:00 - 17:00,8.0,1.0,1535.0,,56.0,15.0,12.0,2.0,1006.0,,34.0,78.0,,,,,,,,,,,,,,49.26731414,-123.1007751,POINT (-123.1007751 49.26731414)
49,2017-08-16,Kingsway AND E 34th Av,46,partly cloudy,,True,True,False,True,True,True,07:45 - 08:45,2.0,9.0,1063.0,,18.0,,5.0,9.0,1977.0,1.0,14.0,26.0,16:55 - 17:55,4.0,15.0,1955.0,,,,6.0,28.0,1290.0,,53.0,60.0,,,,,,,,,,,,,,49.23887291,-123.0515787,POINT (-123.0515787 49.23887291)
50,2017-10-31,MAIN ST AND E 5TH AV,47,cloudy,,True,True,False,True,True,True,08:00 - 09:00,2.0,111.0,1115.0,116.0,89.0,172.0,48.0,72.0,1576.0,2.0,65.0,53.0,16:00 - 17:00,7.0,104.0,1854.0,12.0,101.0,87.0,16.0,62.0,1014.0,39.0,47.0,203.0,,,,,,,,,,,,,,49.26641009,-123.1008131,POINT (-123.1008131 49.26641009)
51,2017-02-21,DAVIE ST AND BROUGHTON ST,48,rain,,True,True,False,True,True,True,07:30 - 08:30,2.0,28.0,39.0,,7.0,284.0,3.0,90.0,50.0,2.0,44.0,374.0,17:00 - 18:00,2.0,259.0,37.0,5.0,16.0,492.0,,230.0,45.0,1.0,84.0,283.0,,,,,,,,,,,,,,49.28369118,-123.1363062,POINT (-123.1363062 49.28369118)
52,2017-01-11,QUEBEC ST AND E 1ST AV,49,sunny,,True,True,False,True,True,True,07:55 - 08:55,,46.0,700.0,,46.0,47.0,,94.0,631.0,,67.0,259.0,16:35 - 17:35,,104.0,1202.0,,72.0,57.0,,108.0,577.0,,119.0,342.0,,,,,,,,,,,,,,49.27015364,-123.1026621,POINT (-123.1026621 49.27015364)
53,2017-05-23,BRUNSWICK ST AND E 6TH AV,50,partly cloudy,,True,True,True,True,True,True,08:00 - 09:00,5.0,44.0,49.0,56.0,22.0,68.0,22.0,38.0,45.0,3.0,21.0,33.0,16:30 - 17:30,19.0,39.0,88.0,5.0,45.0,34.0,5.0,31.0,51.0,35.0,37.0,73.0,14:55 - 15:55,5.0,17.0,62.0,7.0,26.0,42.0,11.0,27.0,45.0,11.0,16.0,39.0,49.2654334,-123.0969148,POINT (-123.0969148 49.2654334)
54,2017-05-23,E 8TH AV AND BRUNSWICK ST,51,sunny,,True,True,True,True,True,True,07:45 - 08:45,2.0,29.0,46.0,34.0,11.0,43.0,1.0,22.0,1.0,7.0,8.0,29.0,16:30 - 17:30,18.0,69.0,102.0,15.0,32.0,64.0,1.0,34.0,15.0,15.0,4.0,20.0,14:30 - 15:30,2.0,37.0,35.0,6.0,14.0,56.0,1.0,26.0,3.0,11.0,3.0,34.0,49.26362545,-123.0969907,POINT (-123.0969907 49.26362545)
55,2017-11-01,E 6TH AV AND MAIN ST,52,cloudy,,True,True,False,True,True,True,07:55 - 08:55,1.0,1.0,1122.0,2.0,102.0,32.0,48.0,,1365.0,,56.0,13.0,17:00 - 18:00,9.0,2.0,1624.0,2.0,152.0,46.0,18.0,,968.0,4.0,92.0,77.0,,,,,,,,,,,,,,49.26550621,-123.100851,POINT (-123.100851 49.26550621)
56,2017-03-09,MAIN ST AND E BROADWAY,53,snow,,True,True,False,True,True,True,07:50 - 08:50,2.0,371.0,627.0,2.0,217.0,1267.0,16.0,119.0,1286.0,2.0,280.0,729.0,17:00 - 18:00,11.0,451.0,1069.0,2.0,357.0,981.0,5.0,276.0,907.0,4.0,374.0,1224.0,,,,,,,,,,,,,,49.26291346,-123.1009595,POINT (-123.1009595 49.26291346)
57,2017-04-11,BURRARD ST AND WALKWAY,54,rain,,True,True,False,True,True,True,07:45 - 08:45,23.0,,,7.0,138.0,119.0,4.0,168.0,186.0,,232.0,152.0,16:50 - 17:50,1.0,,,13.0,497.0,158.0,35.0,277.0,248.0,6.0,470.0,246.0,,,,,,,,,,,,,,49.2881432,-123.1154791,POINT (-123.1154791 49.2881432)
58,2017-12-05,QUEBEC ST AND E 3RD AV,55,sunny,,True,True,False,True,True,True,08:00 - 09:00,4.0,16.0,297.0,3.0,51.0,72.0,19.0,13.0,334.0,1.0,38.0,56.0,16:45 - 17:45,17.0,6.0,458.0,2.0,51.0,69.0,6.0,15.0,397.0,3.0,82.0,113.0,,,,,,,,,,,,,,49.26825507,-123.1027408,POINT (-123.1027408 49.26825507)
59,2017-10-24,E 4TH AV AND QUEBEC ST,56,sunny,,True,True,False,True,True,True,07:55 - 08:55,3.0,10.0,287.0,,54.0,83.0,32.0,4.0,256.0,2.0,9.0,35.0,17:00 - 18:00,27.0,13.0,478.0,2.0,64.0,66.0,19.0,29.0,285.0,11.0,74.0,103.0,,,,,,,,,,,,,,49.26735063,-123.1027788,POINT (-123.1027788 49.26735063)
60,2017-12-06,E 5TH AV AND QUEBEC ST,57,sunny,,True,True,False,True,True,True,08:00 - 09:00,1.0,75.0,218.0,59.0,46.0,239.0,16.0,14.0,289.0,6.0,24.0,65.0,16:35 - 17:35,12.0,62.0,410.0,12.0,49.0,149.0,10.0,30.0,262.0,47.0,32.0,287.0,,,,,,,,,,,,,,49.26644656,-123.1028163,POINT (-123.1028163 49.26644656)
61,2017-08-15,JOYCE ST AND VANNESS AV,58,sunny,,True,True,False,True,True,True,07:55 - 08:55,2.0,670.0,463.0,31.0,569.0,5.0,,476.0,763.0,23.0,725.0,123.0,17:00 - 18:00,1.0,430.0,570.0,22.0,751.0,207.0,3.0,580.0,962.0,25.0,660.0,268.0,,,,,,,,,,,,,,49.23825639,-123.0318495,POINT (-123.0318495 49.23825639)
62,2017-03-28,E 7TH AV AND QUEBEC ST,59,partly cloudy,,True,True,False,True,True,True,07:55 - 08:55,,47.0,209.0,1.0,22.0,502.0,14.0,32.0,232.0,2.0,58.0,192.0,16:35 - 17:35,12.0,32.0,356.0,2.0,37.0,321.0,2.0,38.0,214.0,,81.0,399.0,,,,,,,,,,,,,,49.2646385,-123.102892,POINT (-123.102892 49.2646385)
63,2017-05-18,E BROADWAY AND QUEBEC ST,60,cloudy,,True,True,False,True,True,True,08:00 - 09:00,,101.0,73.0,,74.0,1563.0,,42.0,105.0,,45.0,507.0,16:50 - 17:50,,199.0,294.0,,111.0,1126.0,,121.0,57.0,,94.0,822.0,,,,,,,,,,,,,,49.26296012,-123.1029608,POINT (-123.1029608 49.26296012)
