date,intersection,longitude,latitude,weather,type,AM_available,AM_scraped,MD_available,MD_scraped,PM_available,PM_scraped,AM_peak_hour,AM_north_bikes_vol,AM_north_peds_vol,AM_north_veh_vol,AM_east_bikes_vol,AM_east_peds_vol,AM_east_veh_vol,AM_south_bikes_vol,AM_south_peds_vol,AM_south_veh_vol,AM_west_bikes_vol,AM_west_peds_vol,AM_west_veh_vol,PM_peak_hour,PM_north_bikes_vol,PM_north_peds_vol,PM_north_veh_vol,PM_east_bikes_vol,PM_east_peds_vol,PM_east_veh_vol,PM_south_bikes_vol,PM_south_peds_vol,PM_south_veh_vol,PM_west_bikes_vol,PM_west_peds_vol,PM_west_veh_vol,MD_peak_hour,MD_north_bikes_vol,MD_north_peds_vol,MD_north_veh_vol,MD_east_bikes_vol,MD_east_peds_vol,MD_east_veh_vol,MD_south_bikes_vol,MD_south_peds_vol,MD_south_veh_vol,MD_west_bikes_vol,MD_west_peds_vol,MD_west_veh_vol
2003-07-30,ALMA ST AND POINT GREY ROAD,-123.185566322964,49.2722682187729,clear,Non-Signalized,True,True,True,True,True,True,07:55 - 08:55,1,16,15,15,3,454,5,3,427,9,12,54,16:20 - 17:20,3,43,11,38,2,558,17,4,446,27,34,137,11:55 - 12:55,1,17,12,21,1,516,5,14,352,14,14,98
1996-10-04,ALMA ST AND POINT GREY ROAD,-123.185566322964,49.2722682187729,rain,Non-Signalized,True,True,False,True,True,True,07:40 - 08:40,0,5,7,11,2,622,6,0,440,7,4,40,16:25 - 17:25,0,28,11,14,8,530,3,9,454,9,9,88,,,,,,,,,,,,,
2007-11-01,ALMA ST AND W BROADWAY,-123.185856787137,49.2643642594489,clear,Signalized,True,True,True,True,False,True,07:35 - 08:35,6,26,455,5,39,349,5,74,649,4,58,352,,,,,,,,,,,,,,15:35 - 16:35,2,90,518,0,71,425,4,95,670,1,87,302
2005-02-11,ALMA ST AND W BROADWAY,-123.185856787137,49.2643642594489,clear,Signalized,True,True,True,True,False,True,07:50 - 08:50,1,14,427,4,64,432,4,46,706,3,32,301,,,,,,,,,,,,,,15:30 - 16:30,11,79,658,9,113,460,10,101,872,9,72,386
2002-09-11,ALMA ST AND W BROADWAY,-123.185856787137,49.2643642594489,cloudy,Signalized,True,True,True,True,False,True,07:50 - 08:50,6,25,462,18,50,609,10,62,804,5,62,381,,,,,,,,,,,,,,15:35 - 16:35,5,55,610,4,96,484,13,71,907,14,81,397
1998-10-26,ALMA ST AND W BROADWAY,-123.185856787137,49.2643642594489,rain,Signalized,True,True,True,True,False,True,07:45 - 08:45,8,25,455,13,54,470,6,52,582,2,45,382,,,,,,,,,,,,,,15:35 - 16:35,12,58,544,117,10,397,9,63,762,8,91,318
1996-09-16,ALMA ST AND W BROADWAY,-123.185856787137,49.2643642594489,cloudy,Signalized,True,True,False,True,True,True,07:50 - 08:50,11,14,505,25,41,458,12,51,674,3,53,326,16:10 - 17:10,10,42,593,11,70,467,17,87,694,13,82,344,,,,,,,,,,,,,
2005-03-30,DUNBAR ST AND W 41ST AV,-123.185339038674,49.2347662583104,clear,Signalized,False,True,True,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,13:10 - 14:10,3,49,397,1,28,509,1,20,313,0,45,333
2003-01-30,DUNBAR ST AND W 41ST AV,-123.185339038674,49.2347662583104,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,1,16,701,6,21,1066,0,18,268,0,4,309,16:25 - 17:25,0,17,541,0,15,578,0,16,412,0,7,772,,,,,,,,,,,,,
2001-10-23,DUNBAR ST AND W 41ST AV,-123.185339038674,49.2347662583104,clear,Signalized,True,True,False,True,True,True,07:30 - 08:30,3,49,649,3,7,1064,1,4,188,2,29,274,16:25 - 17:25,0,79,517,3,20,498,1,15,414,6,50,621,,,,,,,,,,,,,
1998-10-27,DUNBAR ST AND W 41ST AV,-123.185339038674,49.2347662583104,cloudy,Signalized,True,True,True,True,False,True,07:35 - 08:35,3,44,767,20,25,1193,2,12,232,2,32,291,,,,,,,,,,,,,,15:40 - 16:40,7,80,522,6,32,617,2,38,410,6,48,761
1996-09-17,DUNBAR ST AND W 41ST AV,-123.185339038674,49.2347662583104,cloudy,Signalized,True,True,False,True,True,True,07:40 - 08:40,5,24,734,28,22,1261,3,30,229,6,30,307,16:05 - 17:05,3,70,549,12,39,573,5,57,451,13,31,868,,,,,,,,,,,,,
2008-01-31,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,rain,Signalized,True,True,False,True,True,True,07:45 - 08:45,1,0,361,0,0,909,0,1,36,0,0,269,16:10 - 17:10,0,1,353,0,5,691,0,0,121,0,8,681,,,,,,,,,,,,,
2006-10-26,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,rain,Signalized,True,True,True,True,False,True,07:20 - 08:20,1,0,371,4,1,926,1,1,57,0,0,241,,,,,,,,,,,,,,15:30 - 16:30,0,2,382,1,5,728,0,2,117,0,11,624
2005-04-01,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,cloudy,Signalized,False,True,True,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,13:25 - 14:25,1,2,262,5,2,755,0,0,96,6,2,621
2003-02-06,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,0,2,502,6,2,984,0,2,94,0,1,392,16:25 - 17:25,1,5,321,6,0,791,1,1,92,13,7,921,,,,,,,,,,,,,
2001-10-22,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,1,3,387,4,2,935,0,0,82,3,4,382,16:25 - 17:25,0,2,263,0,9,706,1,0,79,8,9,823,,,,,,,,,,,,,
2000-09-21,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,cloudy,Signalized,True,True,True,True,False,True,07:45 - 08:45,5,4,458,23,6,1087,1,1,121,3,5,393,,,,,,,,,,,,,,15:30 - 16:30,1,5,333,7,5,835,0,0,116,24,14,738
1998-10-23,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,clear,Signalized,True,True,False,True,True,True,07:25 - 08:25,0,1,403,20,5,1065,0,1,47,3,1,327,16:25 - 17:25,0,1,298,6,4,741,0,0,68,20,4,851,,,,,,,,,,,,,
1996-09-19,DUNBAR ST AND SW MARINE DRIVE,-123.185434194405,49.2306467404517,cloudy,Signalized,True,True,True,True,False,True,07:25 - 08:25,3,2,423,16,2,1090,0,0,83,4,6,328,,,,,,,,,,,,,,15:30 - 16:30,0,4,289,12,4,862,1,0,111,12,11,686
2007-01-23,DUNBAR ST AND W 16TH AV,-123.184016013894,49.2579127746242,rain,Signalized,True,True,True,True,False,True,07:55 - 08:55,0,0,397,5,1,528,,0,,1,4,950,,,,,,,,,,,,,,15:35 - 16:35,1,14,544,1,0,511,,,,1,13,1012
2004-06-23,DUNBAR ST AND W 16TH AV,-123.184016013894,49.2579127746242,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,2,12,377,18,0,480,,7,,21,7,855,16:25 - 17:25,1,15,619,3,0,488,,,,23,17,967,,,,,,,,,,,,,
2006-02-08,BLENHEIM ST AND W 16TH AV,-123.178076880839,49.2578171589135,clear,Signalized,True,True,True,True,False,True,07:55 - 08:55,3,4,188,14,1,579,7,17,441,4,17,546,,,,,,,,,,,,,,15:40 - 16:40,0,14,211,2,6,692,1,7,372,6,4,732
2004-03-12,BLENHEIM ST AND W 16TH AV,-123.178076880839,49.2578171589135,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,1,10,219,6,10,614,1,6,528,12,7,597,16:25 - 17:25,2,5,192,5,17,661,2,7,337,19,3,715,,,,,,,,,,,,,
2002-09-12,BLENHEIM ST AND W 16TH AV,-123.178076880839,49.2578171589135,clear,Signalized,True,True,False,True,True,True,07:50 - 08:50,6,9,263,20,10,677,5,21,581,9,12,612,16:25 - 17:25,5,11,251,5,14,779,5,5,370,15,5,736,,,,,,,,,,,,,
1999-09-09,BLENHEIM ST AND W 16TH AV,-123.178076880839,49.2578171589135,sunny,Signalized,True,True,False,True,True,True,07:55 - 08:55,2,6,197,18,9,724,5,18,495,18,9,678,16:25 - 17:25,11,9,185,9,9,737,5,2,389,21,5,790,,,,,,,,,,,,,
1995-01-25,BLENHEIM ST AND W 16TH AV,-123.178076880839,49.2578171589135,rain,Signalized,True,True,False,True,True,True,07:50 - 08:50,1,0,178,22,0,731,1,0,411,8,0,591,16:25 - 17:25,3,0,165,5,0,724,1,0,300,21,0,690,,,,,,,,,,,,,
1995-10-19,BLENHEIM ST AND W 33RD AV,-123.178659121451,49.242346200418,n/a,Non-Signalized,True,True,False,True,True,True,07:55 - 08:55,1,1,359,4,0,316,0,3,294,3,3,247,16:25 - 17:25,3,3,358,2,5,274,0,0,364,1,1,192,,,,,,,,,,,,,
2009-01-20,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,0,2,259,4,3,1068,1,1,38,2,6,878,16:15 - 17:15,0,3,328,2,3,880,0,4,78,3,5,944,,,,,,,,,,,,,
2007-12-07,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,clear,Signalized,True,True,True,True,False,True,07:35 - 08:35,2,5,270,2,4,1078,0,2,43,1,4,820,,,,,,,,,,,,,,15:45 - 16:45,1,3,351,3,1,843,0,2,98,5,4,1051
2005-01-28,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,clear,Signalized,True,True,True,True,False,True,07:45 - 08:45,1,8,291,10,2,1007,0,7,62,0,8,814,,,,,,,,,,,,,,15:35 - 16:35,0,3,413,6,2,872,1,11,67,4,9,1043
2003-02-04,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,3,2,320,10,4,892,1,0,87,1,1,786,16:25 - 17:25,0,2,326,6,8,1010,0,2,90,5,1,1133,,,,,,,,,,,,,
2001-10-22,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,rain,Signalized,True,True,False,True,True,True,07:25 - 08:25,2,0,253,5,0,1039,1,2,69,5,0,722,16:20 - 17:20,0,2,249,2,3,956,1,0,79,9,2,1034,,,,,,,,,,,,,
1998-10-01,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,cloudy,Signalized,True,True,False,True,True,True,07:25 - 08:25,2,1,359,24,0,1174,4,1,95,8,6,831,16:25 - 17:25,1,4,303,4,0,969,1,1,78,19,2,1099,,,,,,,,,,,,,
1995-09-19,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,cloudy,Signalized,True,True,True,True,False,True,07:50 - 08:50,5,3,385,25,1,1146,2,2,103,5,5,753,,,,,,,,,,,,,,15:45 - 16:45,4,21,412,9,25,1033,2,1,96,19,11,1036
1990-10-22,BLENHEIM ST AND SW MARINE DRIVE,-123.178731666949,49.2301481182812,rain,Signalized,True,True,False,True,False,True,07:25 - 08:25,2,0,253,5,0,1039,1,2,69,5,0,722,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-14,TRUTCH ST AND W BROADWAY,-123.175910539276,49.2642049121412,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,2,27,6,18,8,525,4,21,16,1,9,615,16:40 - 17:40,4,153,18,10,64,633,1,117,43,9,39,714,,,,,,,,,,,,,
2005-02-22,QUESNEL DRIVE AND W KING EDWARD AV,-123.172087664044,49.2500088670429,clear,Non-Signalized,True,True,True,True,False,True,07:50 - 08:50,5,2,60,5,6,687,3,2,222,4,7,761,,,,,,,,,,,,,,15:30 - 16:30,0,2,58,2,1,672,1,6,147,5,1,674
1996-10-07,QUESNEL DRIVE AND W KING EDWARD AV,-123.172087664044,49.2500088670429,cloudy,Non-Signalized,True,True,False,True,True,True,07:55 - 08:55,0,5,64,5,6,659,5,19,217,9,17,767,16:25 - 17:25,1,17,53,8,5,719,1,8,147,7,23,569,,,,,,,,,,,,,
2010-10-13,CARNARVON ST AND W 10TH AV,-123.172073758969,49.2632635246533,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,0,14,19,8,30,744,1,10,34,4,1,561,16:55 - 17:55,2,19,24,7,42,612,0,15,29,13,8,568,,,,,,,,,,,,,
2006-01-26,MACDONALD ST AND POINT GREY ROAD,-123.168207540347,49.2714216378512,rain,Signalized,True,True,False,True,True,True,07:50 - 08:50,0,13,,7,0,808,7,6,311,10,1,555,16:25 - 17:25,0,2,,6,0,843,2,3,214,4,3,494,,,,,,,,,,,,,
2003-04-10,MACDONALD ST AND POINT GREY ROAD,-123.168207540347,49.2714216378512,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,0,13,,19,0,796,4,0,467,28,7,741,16:25 - 17:25,0,36,,27,0,1143,8,7,269,16,17,610,,,,,,,,,,,,,
2001-07-16,MACDONALD ST AND POINT GREY ROAD,-123.168207540347,49.2714216378512,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,0,17,,36,0,741,59,15,397,43,3,694,16:25 - 17:25,0,62,,91,0,1070,25,11,304,46,40,560,,,,,,,,,,,,,
1996-09-30,MACDONALD ST AND POINT GREY ROAD,-123.168207540347,49.2714216378512,clear,Non-Signalized,True,True,False,True,True,True,07:35 - 08:35,0,16,,37,5,942,23,3,467,32,3,662,16:25 - 17:25,0,36,,57,5,1026,5,8,285,27,7,602,,,,,,,,,,,,,
2006-02-07,MACDONALD ST AND W 4TH AV,-123.168312499747,49.268368020565,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,8,42,413,0,54,624,16,40,584,6,29,804,16:25 - 17:25,7,70,533,2,46,645,3,87,413,2,58,844,,,,,,,,,,,,,
2003-04-03,MACDONALD ST AND W 4TH AV,-123.168312499747,49.268368020565,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,5,29,435,0,40,660,13,35,551,2,30,745,16:20 - 17:20,3,23,499,0,15,767,12,93,460,4,56,1003,,,,,,,,,,,,,
2001-07-18,MACDONALD ST AND W 4TH AV,-123.168312499747,49.268368020565,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,23,19,389,7,18,682,59,18,528,18,19,885,16:25 - 17:25,61,59,435,9,50,844,27,44,536,9,64,1015,,,,,,,,,,,,,
1998-10-29,MACDONALD ST AND W 4TH AV,-123.168312499747,49.268368020565,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,8,33,409,5,64,759,26,26,630,3,37,908,16:25 - 17:25,19,63,589,1,100,777,9,104,559,5,82,1033,,,,,,,,,,,,,
1995-09-29,MACDONALD ST AND W 4TH AV,-123.168312499747,49.268368020565,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,7,40,408,9,97,831,29,25,632,6,41,813,16:20 - 17:20,22,75,513,10,85,802,8,90,538,12,100,1063,,,,,,,,,,,,,
2011-11-01,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,3,133,383,4,67,484,13,107,502,5,70,580,16:55 - 17:55,9,513,655,8,257,707,13,284,577,7,183,705,,,,,,,,,,,,,
2010-05-06,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,4,101,516,2,58,506,12,53,495,7,34,459,16:30 - 17:30,5,488,676,6,298,754,6,421,667,6,303,712,,,,,,,,,,,,,
2006-02-14,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,4,142,542,0,63,447,6,96,622,4,61,557,16:25 - 17:25,6,570,820,4,187,725,2,243,585,4,174,682,,,,,,,,,,,,,
2005-03-11,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,clear,Signalized,False,True,True,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30 - 13:30,7,455,495,7,180,611,3,183,591,3,120,688
2002-09-18,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,2,206,581,10,124,623,20,130,716,3,125,748,16:25 - 17:25,15,403,791,15,247,842,13,291,649,8,224,813,,,,,,,,,,,,,
2000-09-15,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,6,186,503,7,153,583,13,136,680,13,86,707,16:25 - 17:25,10,480,649,21,283,763,12,326,624,32,231,811,,,,,,,,,,,,,
1998-11-19,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,4,141,598,3,130,607,12,158,739,8,120,770,16:25 - 17:25,14,473,783,15,265,758,3,276,700,7,263,834,,,,,,,,,,,,,
1996-06-10,MACDONALD ST AND W BROADWAY,-123.168174244326,49.264070415283,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,7,194,625,7,107,469,31,82,646,8,111,770,16:25 - 17:25,17,203,706,12,149,827,12,190,616,14,159,697,,,,,,,,,,,,,
2006-02-23,MACDONALD ST AND KITSILANO DIVERSION,-123.168128771331,49.2622783764467,clear,Signalized,True,True,True,True,False,True,07:55 - 08:55,1,5,517,0,30,537,11,25,765,0,22,527,,,,,,,,,,,,,,15:30 - 16:30,1,20,702,0,28,542,2,12,622,0,62,564
2003-05-01,MACDONALD ST AND KITSILANO DIVERSION,-123.168128771331,49.2622783764467,cloudy,Signalized,True,True,True,True,False,True,07:55 - 08:55,5,6,483,3,18,566,9,11,744,1,16,560,,,,,,,,,,,,,,15:40 - 16:40,8,14,722,7,24,622,10,10,582,3,18,644
2002-09-20,MACDONALD ST AND KITSILANO DIVERSION,-123.168128771331,49.2622783764467,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,3,11,576,7,17,756,15,15,813,4,18,570,16:25 - 17:25,11,12,819,6,34,737,7,5,635,6,20,625,,,,,,,,,,,,,
1996-08-15,MACDONALD ST AND KITSILANO DIVERSION,-123.168128771331,49.2622783764467,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,10,3,378,11,8,406,22,6,541,3,11,373,16:25 - 17:25,23,1,652,5,14,576,12,3,570,11,21,494,,,,,,,,,,,,,
2006-01-31,MACDONALD ST AND PUGET DRIVE,-123.167880280354,49.248088207863,rain,Signalized,True,True,True,True,False,True,07:55 - 08:55,3,12,657,1,15,721,2,10,470,1,11,828,,,,,,,,,,,,,,15:30 - 16:30,2,18,631,1,27,798,2,21,336,2,16,761
2002-10-10,MACDONALD ST AND PUGET DRIVE,-123.167880280354,49.248088207863,clear,Signalized,True,True,True,True,False,True,07:50 - 08:50,4,19,815,3,22,825,3,12,476,4,9,907,,,,,,,,,,,,,,15:30 - 16:30,2,15,742,5,17,782,1,8,324,4,10,812
1995-09-22,MACDONALD ST AND PUGET DRIVE,-123.167880280354,49.248088207863,clear,Signalized,True,True,False,True,True,True,07:45 - 08:45,12,20,540,6,31,768,3,15,296,17,9,867,16:25 - 17:25,6,9,623,16,13,704,7,3,289,7,7,627,,,,,,,,,,,,,
2003-05-01,TRAFALGAR ST AND W 12TH AV,-123.164773308034,49.2611888692219,clear,Non-Signalized,True,True,True,True,False,True,07:55 - 08:55,3,9,66,1,81,605,5,10,75,6,13,728,,,,,,,,,,,,,,15:15 - 16:15,4,13,120,4,91,664,9,24,65,6,11,700
2008-09-16,ARBUTUS ST AND W BROADWAY,-123.152927548017,49.263828567233,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,10,73,482,17,31,810,0,124,656,7,129,1096,16:40 - 17:40,19,68,567,9,100,1084,0,190,678,0,152,973,,,,,,,,,,,,,
2006-10-30,ARBUTUS ST AND W BROADWAY,-123.152927548017,49.263828567233,clear,Signalized,True,True,False,True,True,True,07:55 - 08:55,9,49,417,7,22,656,1,137,632,2,127,1025,16:00 - 17:00,3,50,506,3,42,910,0,334,627,0,183,919,,,,,,,,,,,,,
2005-04-22,ARBUTUS ST AND W BROADWAY,-123.152927548017,49.263828567233,clear,Non-Signalized,False,True,True,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,13:25 - 14:25,7,103,486,9,111,922,2,183,576,6,173,806
2002-09-19,ARBUTUS ST AND W BROADWAY,-123.152927548017,49.263828567233,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,4,55,558,6,28,839,6,87,598,12,167,1002,16:25 - 17:25,5,55,662,11,71,1237,1,194,640,13,211,903,,,,,,,,,,,,,
1999-11-16,ARBUTUS ST AND W BROADWAY,-123.152927548017,49.263828567233,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,3,33,546,4,30,635,6,85,585,5,114,1006,16:20 - 17:20,3,58,538,3,110,980,2,157,653,7,169,906,,,,,,,,,,,,,
1996-07-19,ARBUTUS ST AND W BROADWAY,-123.152927548017,49.263828567233,rain,Signalized,True,True,False,True,True,True,07:55 - 08:55,8,35,452,15,17,597,7,38,579,16,97,707,16:25 - 17:25,9,59,551,23,74,1188,4,139,669,13,168,796,,,,,,,,,,,,,
2002-10-03,ARBUTUS ST AND VALLEY DRIVE,-123.153343461514,49.2452031912037,cloudy,Signalized,True,True,False,True,True,True,07:55 - 08:55,1,54,818,0,4,72,0,47,1060,0,7,99,16:25 - 17:25,2,16,1317,0,9,82,1,31,963,0,13,55,,,,,,,,,,,,,
2007-06-14,ARBUTUS ST AND W 33RD AV,-123.153459634247,49.242100198941,clear,Signalized,True,True,True,True,False,True,07:55 - 08:55,0,0,16,0,0,0,0,0,22,0,0,3,,,,,,,,,,,,,,15:35 - 16:35,0,0,30,0,0,1,0,0,28,0,0,3
2005-02-18,ARBUTUS ST AND W 33RD AV,-123.153459634247,49.242100198941,clear,Signalized,True,True,True,True,False,True,07:55 - 08:55,1,14,853,0,9,410,4,1,900,1,7,636,,,,,,,,,,,,,,15:30 - 16:30,1,12,1113,0,6,334,3,7,898,1,10,492
2002-10-02,ARBUTUS ST AND W 33RD AV,-123.153459634247,49.242100198941,cloudy,Signalized,True,True,True,True,False,True,07:55 - 08:55,3,9,990,0,12,517,1,4,886,1,15,633,,,,,,,,,,,,,,15:30 - 16:30,1,11,1204,0,0,389,0,5,852,0,6,546
1998-11-06,ARBUTUS ST AND W 33RD AV,-123.153459634247,49.242100198941,clear,Signalized,True,True,True,True,False,True,07:45 - 08:45,2,4,794,1,5,474,1,4,860,1,6,612,,,,,,,,,,,,,,15:30 - 16:30,3,10,1065,0,8,374,2,1,874,1,9,539
1995-09-06,ARBUTUS ST AND W 33RD AV,-123.153459634247,49.242100198941,clear,Signalized,True,True,True,True,False,True,07:50 - 08:50,4,12,759,0,0,407,5,0,902,3,6,578,,,,,,,,,,,,,,15:30 - 16:30,7,4,1051,4,6,391,5,8,848,4,8,467
2005-03-08,WEST BOULEVARD AND W 49TH AV,-123.15515213722,49.2271583096935,cloudy,Signalized,True,True,True,True,False,True,07:50 - 08:50,1,38,553,6,9,718,0,12,559,1,13,472,,,,,,,,,,,,,,15:30 - 16:30,1,34,619,1,3,526,1,25,384,1,35,575
2003-04-08,WEST BOULEVARD AND W 49TH AV,-123.15515213722,49.2271583096935,cloudy,Signalized,True,True,True,True,False,True,07:55 - 08:55,2,52,571,0,6,683,1,13,546,0,20,446,,,,,,,,,,,,,,15:40 - 16:40,1,6,706,0,6,542,0,9,385,1,9,588
